"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04512","mmu04512","ECM-receptor interaction","9/69","88/8995",1.8995698731961e-08,2.3364709440312e-06,1.81958798379837e-06,"12835/15530/12833/12834/16774/23928/12830/21923/22371",9
"mmu00190","mmu00190","Oxidative phosphorylation","8/69","135/8995",8.09650682658319e-06,0.000496402011326972,0.000386586076429221,"70316/71679/11957/66043/12858/17993/407785/78330",8
"mmu05016","mmu05016","Huntington disease","11/69","302/8995",1.63421649507761e-05,0.000496402011326972,0.000386586076429221,"70316/71679/11957/66043/12858/22154/14775/69926/17993/407785/78330",11
"mmu04974","mmu04974","Protein digestion and absorption","7/69","108/8995",1.73073894135596e-05,0.000496402011326972,0.000386586076429221,"12835/12833/12834/12816/13717/12830/22074",7
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","12/69","369/8995",2.01789435498769e-05,0.000496402011326972,0.000386586076429221,"70316/71679/11957/66043/12858/22154/14775/69926/17993/407785/78330/56085",12
"mmu04714","mmu04714","Thermogenesis","9/69","231/8995",6.16205237680295e-05,0.00126322073724461,0.000983766256647489,"70316/71679/11957/66043/66359/12858/17993/407785/78330",9
"mmu00640","mmu00640","Propanoate metabolism","4/69","31/8995",8.53514174102606e-05,0.00149974633449458,0.00116796676456146,"107476/100705/110821/66904",4
"mmu04510","mmu04510","Focal adhesion","8/69","201/8995",0.000140546862620133,0.00216090801278454,0.0016828637497937,"12835/12833/12834/16774/23928/12830/21923/22371",8
"mmu05012","mmu05012","Parkinson disease","9/69","264/8995",0.000171118341642012,0.00219588659917797,0.00171010424069487,"70316/71679/11957/66043/12858/22154/17993/407785/78330",9
"mmu05020","mmu05020","Prion disease","9/69","268/8995",0.000191613636772125,0.00219588659917797,0.00171010424069487,"70316/71679/11957/66043/12858/22154/17993/407785/78330",9
"mmu05415","mmu05415","Diabetic cardiomyopathy","8/69","211/8995",0.00019638010236551,0.00219588659917797,0.00171010424069487,"70316/71679/11957/66043/12858/17993/407785/78330",8
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","8/69","222/8995",0.000277712588028225,0.0028465540272893,0.00221682855355864,"70316/71679/11957/66043/12858/17993/407785/78330",8
"mmu01200","mmu01200","Carbon metabolism","6/69","121/8995",0.000314180882374866,0.00297263450246989,0.00231501702802533,"68133/110821/66904/18563/66646/21991",6
"mmu03040","mmu03040","Spliceosome","6/69","134/8995",0.000542780485046497,0.00476871426147994,0.00371376121347603,"66070/67678/76522/60365/20382/108014",6
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","11/69","471/8995",0.000834012484949975,0.00683890237658979,0.00532597446529458,"70316/71679/11957/66043/12858/22154/14775/69926/17993/407785/78330",11
"mmu04151","mmu04151","PI3K-Akt signaling pathway","9/69","359/8995",0.00158462719693682,0.0121437934697333,0.00945729743898784,"12835/12833/12834/14164/16774/23928/12830/21923/22371",9
"mmu05165","mmu05165","Human papillomavirus infection","9/69","362/8995",0.00167841047955663,0.0121437934697333,0.00945729743898784,"12835/12833/12834/14972/16774/23928/12830/21923/22371",9
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","3/69","32/8995",0.00182730689020203,0.0124865970830472,0.00972426473733244,"68133/110821/66904",3
"mmu05010","mmu05010","Alzheimer disease","9/69","383/8995",0.00246746992447284,0.0159736210900084,0.0124398760735196,"70316/71679/11957/66043/12858/22154/17993/407785/78330",9
"mmu04260","mmu04260","Cardiac muscle contraction","4/69","87/8995",0.00437590302106815,0.0267642868929624,0.0208433898781308,"12858/22003/22004/326618",4
"mmu00620","mmu00620","Pyruvate metabolism","3/69","44/8995",0.00456951239635943,0.0267642868929624,0.0208433898781308,"107476/100705/18563",3
"mmu04932","mmu04932","Non-alcoholic fatty liver disease","5/69","156/8995",0.00677829268526384,0.0378968181948842,0.0295131403999526,"70316/12858/17993/407785/78330",5
"mmu00061","mmu00061","Fatty acid biosynthesis","2/69","19/8995",0.00911589399872734,0.0482042730919972,0.0375403410472549,"107476/100705",2
"mmu00280","mmu00280","Valine, leucine and isoleucine degradation","3/69","57/8995",0.00940571182282871,0.0482042730919972,0.0375403410472549,"72039/110821/66904",3
