"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04144","mmu04144","Endocytosis","59/487","272/8995",6.40616049274821e-21,1.55669699973782e-18,1.34192204005989e-18,"230597/218038/212285/228998/77038/66251/13196/211914/72685/30948/12402/208650/68942/75608/105513/13429/232227/216238/57440/98878/13859/13854/13855/13858/216963/26385/15239/245666/243621/71955/93742/18719/73728/234353/54189/78287/74998/52055/216724/70432/20405/20404/20408/58194/98366/69780/56440/67804/54198/229285/20844/56324/52348/107305/28084/73178/68524/330319/218441",59
"mmu04012","mmu04012","ErbB signaling pathway","18/487","84/8995",3.96922795622583e-07,4.82261196681438e-05,4.15724401731021e-05,"11350/11352/11836/109880/12402/208650/12928/12929/13869/14083/18479/56637/72508/17973/17974/224105/18481/20418",18
"mmu04360","mmu04360","Axon guidance","27/487","181/8995",1.37276464332528e-06,0.000111193936109348,9.58526891304318e-05,"11350/226251/231148/319713/69632/12168/13176/259302/13800/14083/18479/56637/241568/17973/17974/224105/18481/93742/218397/19876/268902/20355/20359/117600/14270/237860/22253",27
"mmu04810","mmu04810","Regulation of actin cytoskeleton","29/487","220/8995",7.13468712469846e-06,0.000433432242825432,0.000373632299424999,"329165/11789/11836/73341/54126/69632/108100/12927/109880/12928/12929/54004/13800/14083/14163/18711/18479/216963/17931/224105/18481/18719/232807/232906/20544/237860/21844/83767/73178",29
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","46/487","471/8995",6.23973168098961e-05,0.00301400508394491,0.00259816769202962,"11789/11836/56444/51897/329015/76559/20239/233871/12005/109880/68942/12387/16594/69654/13385/13543/13544/14802/14816/108071/56637/15114/93687/27373/16593/74764/269881/380684/18040/14811/14812/18125/641340/75669/67738/19181/19185/78294/20190/237782/18412/20617/230908/17762/56491/217695",46
"mmu04140","mmu04140","Autophagy - animal","20/487","142/8995",7.44198786159238e-05,0.00301400508394491,0.00259816769202962,"51897/329015/76559/67841/50540/18518/16367/384783/207565/72508/26409/74302/641340/75669/237782/67474/18412/20869/64930/217695",20
"mmu04530","mmu04530","Tight junction","22/487","167/8995",9.18725877055499e-05,0.00318929125892123,0.00274926991780518,"76089/108097/75723/102098/192786/21872/70737/13383/23859/53310/54357/14924/231830/17475/56217/93742/70497/105782/13043/20869/104027/21844",22
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","13/487","76/8995",0.000193822623170646,0.00490255723449976,0.00422615936610549,"12927/12402/12488/12928/12929/12386/12387/13429/14083/20418/13043/83767/73178",13
"mmu05017","mmu05017","Spinocerebellar ataxia","19/487","141/8995",0.000202935565305177,0.00490255723449976,0.00422615936610549,"51897/329015/76559/20239/233871/12286/71722/13131/20513/14816/56543/14811/14812/641340/75669/19181/19185/80912/20190",19
"mmu04015","mmu04015","Rap1 signaling pathway","25/487","214/8995",0.000221707584457164,0.00490255723449976,0.00422615936610549,"76089/110351/192786/12927/109880/12928/12929/12387/12388/13800/14026/16590/14924/50791/99470/14811/14812/93742/107746/70549/64143/51791/217692/244668/21844",25
