"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04144","mmu04144","Endocytosis","106/1178","272/8997",9.74038182904433e-28,2.99029722151661e-25,1.90706423179184e-25,"230597/227700/78618/347722/216439/213990/218038/11771/11772/212285/228998/77038/66251/74192/109689/216869/13196/211914/72685/211673/99371/30948/12343/12402/208650/68953/68942/75608/76959/105513/74325/19157/19158/13429/103967/232227/216238/13660/57440/98878/13859/13854/13855/13858/216963/26385/15239/245666/243621/71955/16572/16574/16573/72543/16004/83814/17999/93742/18571/18720/18719/18717/73728/74002/234353/107338/54189/78287/74998/52055/216724/70432/20405/20404/20408/58194/54673/17126/98366/69780/27681/56440/55988/67804/54198/225861/69150/69178/72183/229285/70527/20844/56324/22088/84092/52348/107305/28084/70160/22365/73178/68524/330319/107568/218441/319740",106
"mmu04721","mmu04721","Synaptic vesicle cycle","41/1178","77/8997",3.39028240947186e-17,5.2040834985393e-15,3.31890804295666e-15,"11771/11772/12286/12287/74325/12889/12890/235415/13429/103967/20512/20511/20510/20513/18195/116837/243616/232333/13162/15567/104245/240332/14664/20614/20907/56216/20910/20979/382018/208898/22318/11964/11966/66335/73834/11973/66144/108664/140919/22348/11975",41
"mmu04070","mmu04070","Phosphatidylinositol signaling system","46/1178","96/8997",8.87699573694631e-17,9.08412563747506e-15,5.79340774411233e-15,"70405/380921/320127/217480/56077/110197/110524/104418/331374/104015/18711/269180/234515/64436/16329/228550/27399/18750/18751/18752/53332/77116/74302/219135/54384/320634/18718/108083/117150/107650/18720/18719/18717/225326/18795/18797/18803/19211/227333/18798/83493/101490/16332/20975/327655/227399",46
"mmu04720","mmu04720","Long-term potentiation","37/1178","67/8997",2.45213853177676e-16,1.63817705487007e-14,1.04474861034059e-14,"14810/432530/11514/11836/109880/12288/70405/108058/14682/14799/14800/14816/108071/12322/12323/12325/12326/18750/18751/18752/20111/20112/26417/26395/26396/14811/14812/18795/18797/19045/19055/19056/58200/18798/110157/215449/16653",37
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","126/1178","471/8997",2.66804080597732e-16,1.63817705487007e-14,1.04474861034059e-14,"17762/14810/12669/11789/11836/56444/11938/51897/329015/76559/20238/20239/233871/12005/53623/109880/12287/12288/70405/12334/12367/12460/68942/12864/13000/13001/12387/16594/13191/69654/67665/13385/13542/13543/13544/108058/56228/233908/14682/14799/14800/14802/14816/108071/56637/15114/15194/93687/27373/12322/12323/12325/16572/16574/16573/16593/74764/18750/18751/18752/269881/26408/26417/26420/26414/66734/26395/26396/26397/26399/54405/17991/66091/17992/66495/68194/66046/66916/595136/380684/18039/18040/14811/14812/18125/641340/75669/225326/18795/18797/18803/19055/19056/67738/19181/19185/66413/67151/20743/18798/22272/19353/110157/16653/12421/78294/20190/13162/237782/18412/20907/20617/230908/22144/22145/53857/238463/22151/73710/269523/22201/22202/29869/56491/74781/217695",126
"mmu04724","mmu04724","Glutamatergic synapse","48/1178","113/8997",7.19109456136807e-15,3.6794433839e-13,2.34656769897274e-13,"14810/432530/224129/11512/11514/11515/53623/12286/12288/243961/210274/13385/224997/20512/20511/20510/20513/14704/14660/14682/14799/14800/14802/14806/14807/14816/108068/268934/108071/108073/14823/26556/26557/16519/18750/18751/18752/26417/14811/14812/18795/18797/19055/19056/18798/76257/58234/140919",48
"mmu04012","mmu04012","ErbB signaling pathway","39/1178","84/8997",7.41624008097636e-14,3.25255100694249e-12,2.07431677452873e-12,"11350/11352/23797/11836/109880/12402/208650/12576/12928/12929/13869/108058/14083/18479/14388/56637/12322/12323/12325/18750/18751/18752/72508/26417/26420/26414/26395/26396/26398/17973/17974/224105/18481/214230/18803/110157/16653/20418/20662",39
"mmu04072","mmu04072","Phospholipase D signaling pathway","54/1178","149/8997",4.06260799971387e-13,1.5590258198902e-11,9.94269852561552e-12,"432530/224129/11512/11514/11515/23797/19157/19158/380921/320127/217480/56077/110197/110524/104418/13429/103967/331374/19229/14388/14389/14674/14816/108068/268934/108071/108073/14823/16590/18750/26417/26395/26396/18720/18719/18717/55979/18795/18797/68262/18803/19247/227333/18798/110157/56044/64143/16653/56508/20418/20662/56632/64930/22084",54
"mmu05132","mmu05132","Salmonella infection","73/1178","253/8997",1.52315604854167e-11,4.98259166841921e-10,3.17765146691573e-10,"66395/11308/23797/56444/74192/17920/12367/12387/20430/76884/19157/19158/16594/622434/13427/13426/235661/234663/13191/69654/67665/110350/56455/68097/100041194/140580/140579/66482/20336/105504/53413/18479/70297/170760/16572/16574/16573/16593/74764/26409/26417/26420/26414/26395/26396/26397/26398/26399/16151/18481/225326/320795/319642/19353/110157/56044/19878/68652/66724/22144/22145/53857/238463/22151/73710/77573/71732/80743/228545/269338/218035/245880/73178",73
"mmu04910","mmu04910","Insulin signaling pathway","49/1178","139/8997",1.62299402880105e-11,4.98259166841921e-10,3.17765146691573e-10,"74370/228966/108097/105787/108079/23797/11836/109880/70405/12402/208650/12928/12929/53413/14251/14252/56637/14936/216019/15275/16367/384783/19084/19085/19087/19088/18679/102093/72508/26417/26420/26414/26395/26396/18607/19045/54646/19268/110078/107746/110157/16653/20104/20418/16332/20662/20411/64930/22084",49
"mmu04360","mmu04360","Axon guidance","58/1178","181/8997",2.02057625189228e-11,5.63924463028117e-10,3.59643237178912e-10,"11350/226251/231148/319713/69632/12168/12631/13176/12934/259302/13642/13800/13836/13837/13838/108058/14083/18479/56637/12322/12323/12325/18750/16885/241568/26417/17973/17974/18007/53972/224105/18481/214230/93742/18607/18803/18844/243743/235611/54712/19055/19056/19247/218397/19353/110157/16653/19876/268902/19878/20354/20355/20359/117600/14270/237860/107448/22253",58
"mmu00562","mmu00562","Inositol phosphate metabolism","32/1178","72/8997",5.53324827464968e-11,1.41558935026454e-09,9.02793139548106e-10,"104015/18711/269180/234515/64436/16329/228550/53332/77116/74302/219135/54384/320634/18718/108083/117150/107650/18720/18719/18717/170835/225326/18795/18797/18803/269615/19211/18798/83493/101490/16332/20975",32
