"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu01200","mmu01200","Carbon metabolism","6/64","121/8997",0.000207281961956208,0.0212299715083567,0.0185654811571055,"68133/110821/66904/18563/66646/21991",6
"mmu00190","mmu00190","Oxidative phosphorylation","6/64","135/8997",0.000374979216723256,0.0212299715083567,0.0185654811571055,"70316/11957/66043/12858/17993/407785",6
"mmu05020","mmu05020","Prion disease","8/64","268/8997",0.000582087347722876,0.0212299715083567,0.0185654811571055,"70316/11957/66043/12858/17993/407785/19122/20655",8
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","7/64","222/8997",0.000952811992565342,0.0212299715083567,0.0185654811571055,"70316/11957/66043/12858/17993/407785/20655",7
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","9/64","369/8997",0.00111213273901771,0.0212299715083567,0.0185654811571055,"70316/11957/66043/12858/14775/17993/407785/20655/56085",9
"mmu04714","mmu04714","Thermogenesis","7/64","231/8997",0.00120150138714571,0.0212299715083567,0.0185654811571055,"70316/11957/66043/66359/12858/17993/407785",7
"mmu05016","mmu05016","Huntington disease","8/64","302/8997",0.00126698069309796,0.0212299715083567,0.0185654811571055,"70316/11957/66043/12858/14775/17993/407785/20655",8
"mmu00640","mmu00640","Propanoate metabolism","3/64","31/8997",0.00133873695495957,0.0212299715083567,0.0185654811571055,"100705/110821/66904",3
"mmu00630","mmu00630","Glyoxylate and dicarboxylate metabolism","3/64","32/8997",0.00146976725827085,0.0212299715083567,0.0185654811571055,"68133/110821/66904",3
"mmu03040","mmu03040","Spliceosome","5/64","134/8997",0.00256569024569991,0.0304515168210352,0.0266296665317555,"66070/76522/60365/20382/108014",5
"mmu05012","mmu05012","Parkinson disease","7/64","264/8997",0.00257666680793375,0.0304515168210352,0.0266296665317555,"70316/11957/66043/12858/17993/407785/20655",7
"mmu04260","mmu04260","Cardiac muscle contraction","4/64","87/8997",0.00333309704653297,0.0361085513374405,0.0315767088618913,"12858/22003/22004/326618",4
"mmu05415","mmu05415","Diabetic cardiomyopathy","6/64","211/8997",0.00374530207684421,0.0374530207684421,0.0327524392145081,"70316/11957/66043/12858/17993/407785",6
