"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04144","mmu04144","Endocytosis","102/1003","272/8997",5.34830789973578e-31,1.63658221731915e-28,1.17662773794187e-28,"230597/227700/78618/347722/216439/213990/218038/11771/11772/71770/11773/212285/228998/77038/66251/109689/216869/13196/211914/72685/211673/99371/30948/12343/12402/208650/68942/75608/76959/105513/19157/19158/13429/103967/232227/216238/13660/57440/98878/13859/13854/13855/13858/216963/26385/15239/245666/243621/71955/16572/16574/16573/72543/16004/83814/17999/93742/18571/18720/18719/18717/73728/234353/107338/54189/78287/74998/52055/216724/70432/20405/20404/20408/58194/17126/98366/69780/27681/56440/67804/54198/225861/69150/69178/229285/70527/20844/56324/22042/22088/84092/52348/107305/28084/65114/70160/22365/73178/68524/330319/107568/218441",102
"mmu04721","mmu04721","Synaptic vesicle cycle","38/1003","77/8997",5.94736634121222e-17,9.0994705020547e-15,6.54210297533344e-15,"11771/11772/71770/11773/12286/12287/12889/12890/235415/13429/103967/20512/20511/20510/20513/18195/116837/243616/232333/13162/15567/104245/240332/20614/56216/20910/20979/382018/208898/22318/11964/11966/66144/108664/72961/140919/22348/11975",38
"mmu04070","mmu04070","Phosphatidylinositol signaling system","42/1003","96/8997",3.40282477082837e-16,3.47088126624494e-14,2.49540483194081e-14,"110911/380921/320127/217480/56077/110197/110524/104418/331374/104015/18711/269180/234515/64436/16329/27399/16438/18750/53332/77116/74302/54384/320634/18718/108083/117150/107650/18720/18719/18717/225326/18795/18797/18803/19211/227333/18798/83493/101490/16332/327655/227399",42
"mmu04724","mmu04724","Glutamatergic synapse","41/1003","113/8997",1.52831451471653e-12,1.16916060375814e-10,8.40572983094091e-11,"14810/224129/11512/11514/11515/53623/12286/12288/243961/210274/13385/224997/20512/20511/20510/20513/14799/14800/14802/14806/14807/14816/268934/108071/108073/14823/26556/26557/16438/16519/18750/14811/14812/18795/18797/19055/19056/18798/58234/72961/140919",41
"mmu04072","mmu04072","Phospholipase D signaling pathway","48/1003","149/8997",3.02093623710517e-12,1.84881297710837e-10,1.32921194432628e-10,"224129/11512/11514/11515/19157/19158/380921/320127/217480/56077/110197/110524/104418/13429/103967/331374/19229/14389/14673/14674/14816/268934/108071/108073/14823/16590/18750/56717/18720/18719/18717/55979/18795/18797/68262/18803/19247/227333/18798/110157/56044/64143/56508/20418/20662/56632/64930/22084",48
"mmu04720","mmu04720","Long-term potentiation","28/1003","67/8997",1.16582920152753e-10,5.76885152130919e-09,4.14754030943798e-09,"14810/11514/11836/109880/12288/108058/14799/14800/14816/108071/16438/12322/12323/12325/12326/18750/20111/20112/14811/14812/18795/18797/19045/19055/19056/58200/18798/110157",28
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","99/1003","471/8997",1.31967191663936e-10,5.76885152130919e-09,4.14754030943798e-09,"14810/12669/11789/11836/56444/11938/51897/329015/76559/20238/20239/233871/12005/53623/109880/12287/12288/12334/12367/12460/68942/12864/13000/13001/12387/16594/13191/69654/67665/13385/13542/13543/13544/108058/56228/233908/14799/14800/14802/14816/108071/56637/15114/15194/16438/93687/27373/12322/12323/12325/16572/16574/16573/16593/74764/18750/269881/26414/26397/56717/380684/18039/18040/14811/14812/18125/641340/75669/225326/18795/18797/18803/19055/19056/67738/19182/19181/19185/20743/18798/110157/67790/12421/78294/20190/13162/237782/18412/20617/230908/17762/53857/238463/22201/22202/29869/56491/74781/217695",99
"mmu00562","mmu00562","Inositol phosphate metabolism","29/1003","72/8997",1.58753813549053e-10,6.07233336825127e-09,4.36572987259895e-09,"104015/18711/269180/234515/64436/16329/53332/77116/74302/54384/320634/18718/108083/117150/107650/18720/18719/18717/170835/225326/18795/18797/18803/269615/19211/18798/83493/101490/16332",29
"mmu04728","mmu04728","Dopaminergic synapse","42/1003","135/8997",2.42985328850185e-10,8.26150118090627e-09,5.9396413718934e-09,"226849/26932/26931/224129/109731/109689/216869/53623/12286/12287/12288/12846/13195/108058/14799/14800/14802/606496/56637/16438/12322/12323/12325/16519/16522/16572/16574/16573/18750/26414/14811/14812/18795/18797/19045/19055/19056/19049/21770/18798/13162/21823",42
"mmu04012","mmu04012","ErbB signaling pathway","30/1003","84/8997",2.40367909412965e-09,7.35525802803674e-08,5.28809400708524e-08,"11350/11352/11836/109880/12402/208650/12928/12929/13869/108058/14083/18479/56637/12322/12323/12325/18750/72508/26414/26398/56717/17973/17974/224105/18481/214230/18803/110157/20418/20662",30
