"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","265/2181","471/8997",5.48936986693042e-53,1.76208772728467e-50,9.24525451272493e-51,"17762/14810/12669/70316/226977/54130/56436/11739/11740/11789/11836/56444/11937/11938/53313/11951/51897/329015/76559/71679/11957/11946/11947/11949/28080/20238/20239/233871/12005/53623/12048/12028/109880/12287/12288/70405/12333/12334/19058/12367/12359/12460/12568/68942/12857/12858/12859/12864/12867/12995/13000/13001/12387/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/13385/13542/13543/13544/108058/56228/233908/14682/14763/14799/14800/14802/14816/108071/14828/56637/15114/15108/15194/215114/13665/16438/93687/27373/12322/12323/12325/16572/16574/16573/16593/74764/18750/18751/18752/269881/26408/215999/67414/170731/26413/26417/26419/26420/26414/66734/67443/26395/26396/26397/26399/26400/56717/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/380684/18039/18040/14811/14812/18125/641340/57320/75669/225326/18795/18797/18803/19055/19056/67738/105675/19122/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/20743/18798/22273/67003/66576/67530/22272/66152/271457/17274/19353/110157/15461/16653/67790/12421/22186/78294/20190/20191/13162/66945/67680/237782/20655/18412/20907/20617/230908/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/56480/269523/641376/53333/68015/22195/22201/22202/22223/66694/29869/56491/22333/22334/22335/74781/217695",265
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","214/2181","369/8997",1.66026723187467e-45,2.66472890715885e-43,1.39811977421025e-43,"14810/70316/11461/226977/54130/56436/56009/11744/11750/56444/11951/51897/329015/76559/71679/11957/11946/11947/11949/28080/20239/233871/12048/12028/19058/12367/12359/12460/68942/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/218210/20511/13869/233908/14799/14800/14828/15114/15185/13665/16572/16574/16573/16593/74764/26408/17184/215999/66734/67443/26397/26399/56717/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/380684/18039/18040/14811/14812/18125/641340/103468/234865/170762/227720/18141/18226/19069/71805/269966/53319/75669/225326/107939/19055/19056/18643/18645/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/70699/22273/67003/66576/67530/22272/66152/271457/17274/19353/66679/67790/12421/19386/15382/53379/229279/66945/67680/110379/72124/237782/20655/18412/225027/230908/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/56480/269523/21681/641376/53333/108989/56085/66694/29869/56491/22333/74781",214
"mmu05016","mmu05016","Huntington disease","186/2181","302/8997",8.38219430026086e-45,7.26455424221685e-43,3.8115385432192e-43,"14810/70316/226977/54130/56436/11739/11740/11771/11772/71770/11773/232910/56444/11951/51897/329015/76559/71679/11957/11946/11947/11949/28080/53623/12028/12287/12367/12914/12757/74325/67300/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/13385/20512/20511/14682/14799/14800/14802/108071/15114/15194/433759/15182/215114/16438/16572/16574/16573/16593/74764/269881/26408/26419/26420/26414/26400/56717/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/14812/641340/75669/225326/18795/18797/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/18798/22273/67003/66576/67530/22272/66152/12421/20020/231329/66945/67680/20655/20656/20907/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/21780/66694/29869/22333/22334/22335/74781",186
"mmu05012","mmu05012","Parkinson disease","170/2181","264/8997",9.0524040401456e-45,7.26455424221685e-43,3.8115385432192e-43,"17762/70316/224129/56436/11739/11740/17161/109731/11951/71679/11957/11946/11947/11949/28080/12048/12028/70405/12367/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/108058/56228/14677/14678/14679/14680/14683/14763/14828/13665/16438/18747/18749/12322/12323/12325/16572/16574/16573/16593/74764/26408/215999/67414/170731/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/57320/18803/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/22186/78294/227059/277468/13162/66945/67680/20655/20617/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/56551/68015/21823/22195/22201/22202/22223/66694/22333/22334/22335",170
"mmu05020","mmu05020","Prion disease","164/2181","268/8997",5.28274391727106e-39,3.39152159488802e-37,1.77945058265973e-37,"17967/14810/70316/56436/11739/11740/11951/71679/11957/11946/11947/11949/28080/12028/12260/12287/12288/19058/12367/12857/12858/12859/12864/12867/12995/13000/13001/110323/12865/12866/66445/13063/13067/16594/14360/14828/56637/193740/15482/15512/15481/13665/16438/18747/18749/16572/16574/16573/16593/74764/18753/215999/26413/26417/26419/26420/26414/17968/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/14811/14812/19055/19056/105675/19122/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/19353/19354/20190/20191/66945/67680/20655/20867/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/66694/22333/22334/22335",164
"mmu05010","mmu05010","Alzheimer disease","203/2181","383/8997",2.70127017691908e-35,1.44517954465171e-33,7.58251277731672e-34,"17762/14810/12669/70316/11487/56436/11739/11740/11651/23797/11785/11789/11836/11937/11938/53313/11951/51897/329015/76559/71679/11957/11946/11947/11949/28080/12005/109880/12288/70405/12333/12334/19058/12367/12568/12857/12858/12859/12864/12867/12995/13000/13001/12387/110323/12865/12866/66445/13063/13067/16594/13542/13543/13544/15925/14433/14682/108071/56637/15108/13665/16367/384783/16438/93687/27373/16572/16574/16573/16593/74764/16971/26408/215999/26413/26417/26419/26420/26414/26395/26396/26400/56717/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/16151/14811/14812/18125/641340/75669/225326/18795/18797/19055/19056/67738/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/18798/22273/67003/66576/67530/22272/66152/110157/15461/16653/12421/20168/68585/227059/277468/66945/67680/20617/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/66694/234664/29869/22333/22334/22335/74781",203
"mmu04144","mmu04144","Endocytosis","158/2181","272/8997",9.80929901809707e-34,4.49826426401308e-32,2.36013209457975e-32,"230597/227700/78618/347722/216439/213990/218038/11771/11772/71770/11773/232910/69710/212285/56443/11867/11840/11843/11844/11845/228998/77038/66251/66713/74117/242894/74192/76709/56378/68089/67771/109689/216869/13196/211914/72685/211673/99371/30948/12345/12340/12343/12402/208650/12540/68953/68942/75608/76959/208092/105513/12757/74325/67300/19157/19158/13429/13430/103967/232227/216238/13660/259300/57440/98878/13859/13854/13855/13858/216963/26385/14972/15239/193740/15482/15512/15481/245666/243621/71955/16396/16572/16574/16573/18759/72543/16004/83814/17999/93742/18571/18720/18719/18717/73728/74002/234353/107338/140500/19325/106572/77407/271457/19344/19345/17274/54189/15461/53869/78287/74998/52055/11848/216724/70432/20405/20404/20408/58194/54673/17126/98366/69780/27681/56440/55988/67804/54198/225861/69150/69178/72183/229285/20779/70527/20844/56324/22042/22088/84092/30930/69091/52348/107305/28084/66914/56433/65114/70160/22365/116733/66201/73178/68524/330319/107568/218441/319740",158
"mmu05132","mmu05132","Salmonella infection","141/2181","253/8997",1.32938493399958e-27,5.33415704767333e-26,2.79870512420965e-26,"66395/50884/11308/11461/226977/54130/11651/23797/12306/56443/11867/11840/11845/68724/67166/56444/66713/74117/242894/74192/76709/56378/68089/67771/17920/12028/12367/12540/12387/13063/13067/20430/76884/19157/19158/16594/622434/13427/13426/235661/234663/13191/69654/53598/67665/59288/22428/13424/110350/56455/68097/13430/100041194/140580/140579/22027/66482/20336/105504/53413/71999/286940/14433/18479/70297/170760/15519/15516/16649/16648/16646/16572/16574/16573/16593/74764/26409/26413/26417/26419/26420/26414/67938/26395/26396/26397/26398/26399/26400/17113/16151/18704/18481/225326/320795/18643/18645/19878/271457/19344/19345/319642/19353/110157/56044/15461/11848/11852/56212/20130/27050/20194/21402/66616/68652/66724/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951/56551/77573/71732/80743/228545/269338/218035/245880/73178/110750",141
"mmu05017","mmu05017","Spinocerebellar ataxia","93/2181","141/8997",5.1818127749001e-26,1.84817988971437e-24,9.69695957876042e-25,"14810/56436/11739/11740/69597/11651/23797/11937/11938/53313/51897/329015/76559/20238/54138/20239/233871/53623/12286/71722/13063/13067/13131/20513/14682/14799/14800/14816/16438/16504/56543/18750/18751/18752/26408/215999/26419/26420/26414/56717/14811/14812/67134/641340/74143/75669/225326/18795/18797/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19172/19173/19175/19177/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/80912/20743/18798/12421/20190/29869/22333/22334/22335/74781",93
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","93/2181","148/8997",1.06712001972735e-23,3.4254552633248e-22,1.79725477006712e-22,"66082/70316/432530/224129/11512/11514/11515/53623/12286/12287/12288/12801/269060/14073/14688/14693/14696/14701/14702/14704/14708/14394/14396/14397/14400/14401/14402/14406/14677/14678/14679/14681/14682/14799/14800/14802/14816/108071/16438/18747/18749/16519/16522/18750/18751/18752/23945/26413/26417/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/18795/18797/78330/18798/116837/72961/140919/22348",93
