"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","211/1582","471/8997",2.05525586798973e-45,6.45350342548775e-43,3.28840938878357e-43,"17762/12669/70316/226977/54130/56436/11739/11740/56444/11937/11938/53313/11951/329015/71679/11957/11946/11947/11949/28080/20238/20239/233871/12005/53623/11789/12028/109880/12287/12288/70405/12333/19058/12359/12568/68942/12857/12858/12859/12864/12867/12995/13000/12387/110323/12866/66445/16594/13191/69654/53598/67665/59288/22428/13542/13543/13544/108058/56228/233908/14682/14763/14802/14828/56637/15114/215114/93687/27373/12322/12323/12325/16572/16574/16593/74764/18750/18751/18752/269881/26408/215999/67414/26413/26417/26419/26420/26414/66734/67443/26395/26396/26399/26400/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/380684/18039/18040/14812/57320/18795/18797/19055/19056/67738/105675/19122/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/20743/11836/18798/15108/22273/67003/66576/67530/22272/66152/271457/19353/110157/15461/16653/12421/22186/66945/67680/237782/20655/20907/20617/230908/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/56480/269523/641376/68015/22195/22201/22202/22223/66694/29869/56491/22333/74781/217695",211
"mmu05012","mmu05012","Parkinson disease","137/1582","264/8997",4.65754162438072e-38,7.31234035027773e-36,3.72603329950457e-36,"17762/70316/224129/56436/11739/11740/109731/11951/71679/11957/11946/11947/11949/28080/12028/70405/12857/12858/12859/12864/12867/110323/12866/66445/16594/108058/56228/14678/14679/14680/14683/14763/14828/18747/18749/12322/12323/12325/16572/16574/16593/74764/26408/215999/67414/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/57320/105675/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/22186/227059/66945/67680/20655/20617/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/68015/21823/22195/22201/22202/22223/66694/22333",137
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","163/1582","369/8997",5.06143581056184e-34,4.90337954293083e-32,2.49853734671635e-32,"70316/11461/226977/54130/56436/56009/11744/11750/56444/11951/329015/71679/11957/11946/11947/11949/28080/20239/233871/12028/19058/12359/68942/12857/12858/12859/12864/12867/110323/12866/66445/16594/13191/69654/53598/67665/59288/22428/218210/13869/233908/14828/15114/16572/16574/16593/74764/26408/17184/215999/66734/67443/26399/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/380684/18039/18040/14812/103468/234865/18226/71805/269966/107939/19055/19056/18643/18645/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/70699/22273/67003/66576/67530/22272/66152/271457/19353/12421/53379/229279/66945/67680/237782/20655/225027/230908/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/56480/269523/21681/641376/108989/56085/66694/29869/56491/22333/74781",163
"mmu05016","mmu05016","Huntington disease","143/1582","302/8997",6.24634336679087e-34,4.90337954293083e-32,2.49853734671635e-32,"70316/226977/54130/56436/11739/11740/11771/56444/11951/329015/71679/11957/11946/11947/11949/28080/53623/12028/12287/12914/12757/74325/12857/12858/12859/12864/12867/110323/12866/66445/16594/13191/69654/53598/67665/59288/22428/20512/14682/14802/15114/15182/215114/16572/16574/16593/74764/269881/26408/26419/26420/26414/26400/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/14812/18795/18797/105675/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/18798/22273/67003/66576/67530/22272/66152/12421/20020/231329/66945/67680/20655/20907/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/21780/66694/29869/22333/74781",143
"mmu05010","mmu05010","Alzheimer disease","163/1582","383/8997",1.17698277381337e-31,7.39145181954797e-30,3.76634487620279e-30,"17762/12669/70316/11487/56436/11739/11740/11651/23797/11785/11937/11938/53313/11951/329015/71679/11957/11946/11947/11949/28080/12005/11789/109880/12288/70405/12333/19058/12568/12857/12858/12859/12864/12867/12995/13000/12387/110323/12866/66445/16594/13542/13543/13544/14433/14682/56637/16367/384783/93687/27373/16572/16574/16593/74764/26408/215999/26413/26417/26419/26420/26414/26395/26396/26400/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/14812/18795/18797/19055/19056/67738/105675/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/11836/18798/15108/22273/67003/66576/67530/22272/66152/110157/15461/16653/12421/20168/68585/227059/66945/67680/20617/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/66694/234664/29869/22333/74781",163
"mmu05020","mmu05020","Prion disease","128/1582","268/8997",7.01148147871192e-31,3.66934197385924e-29,1.86972839432318e-29,"17967/70316/56436/11739/11740/11951/71679/11957/11946/11947/11949/28080/12028/12287/12288/19058/12857/12858/12859/12864/12867/12995/13000/110323/12866/66445/16594/14828/56637/15512/18747/18749/16572/16574/16593/74764/18753/215999/26413/26417/26419/26420/26414/17968/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/14812/19055/19056/105675/19122/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/19353/66945/67680/20655/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/66694/22333",128
"mmu04714","mmu04714","Thermogenesis","108/1582","231/8997",3.37394945447185e-25,1.51345732672023e-23,7.71188446736422e-24,"108097/19082/105787/108079/56456/70316/74205/50790/216739/11461/432530/224129/11512/11514/11515/67605/93760/11951/71679/11957/27425/11946/11947/11949/57423/28080/12801/52469/69893/66359/12857/12858/12859/12864/12867/12894/78070/12896/110323/12866/66445/29861/239985/327826/14683/14784/18747/18749/99982/20111/20112/72508/26408/57279/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/66706/73694/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/15461/16653/20104/66945/67680/67155/20586/68094/20587/20662/22084/66694",108
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","104/1582","222/8997",2.19954808299892e-24,8.63322622577075e-23,4.39909616599783e-23,"11350/11352/70316/11739/11740/58810/11651/23797/57344/11951/71679/11957/11946/11947/11949/28080/109880/12359/12408/12857/12858/12859/12864/12867/110323/12866/66445/14083/56484/14784/14860/14862/14866/14873/14871/13849/18753/26408/56615/26413/26417/26419/26420/26414/26395/26396/26398/26400/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/18607/11431/105675/19211/19247/78330/11836/22273/67003/66576/67530/22272/66152/19353/110157/15461/16653/66945/67680/20655/20662/66694/22333",104
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","78/1582","148/8997",1.40893089488344e-22,4.91560334437111e-21,2.50476603534834e-21,"70316/432530/224129/11512/11514/11515/53623/12286/12287/12288/12801/269060/14073/14688/14693/14696/14702/14704/14708/14397/14401/14402/14678/14679/14681/14682/14802/18747/18749/16519/18750/18751/18752/26413/26417/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/18795/18797/78330/18798/116837/140919/22348",78
"mmu05415","mmu05415","Diabetic cardiomyopathy","96/1582","211/8997",1.95703229007602e-21,6.14508139083871e-20,3.13125166412163e-20,"70316/11739/11740/11651/23797/11937/11938/53313/11951/71679/11957/11946/11947/11949/28080/12857/12858/12859/12864/12867/12896/110323/12866/66445/108058/14433/56637/20525/14936/16367/12322/12323/12325/18750/18751/18753/18752/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/18597/68263/11545/18604/236900/18795/18797/105675/19211/78330/18798/22273/67003/66576/67530/22272/66152/19353/66945/67680/17126/66694/22333",96
"mmu00190","mmu00190","Oxidative phosphorylation","72/1582","135/8997",2.50034828481573e-21,7.13735783120126e-20,3.63687023245924e-20,"70316/192113/11951/71679/11957/27425/11946/11947/11949/57423/28080/12857/12858/12859/12864/12867/110323/12866/66445/67895/74776/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/66945/67680/66694/11964/11966/66335/73834/11973/66144/66237/108664",72
"mmu04144","mmu04144","Endocytosis","107/1582","272/8997",6.35602938315505e-18,1.66316102192557e-16,8.47470584420673e-17,"227700/78618/347722/216439/213990/218038/11771/69710/56443/228998/66713/242894/74192/56378/67771/13196/211914/72685/211673/99371/12345/12340/12343/208650/12540/68953/68942/75608/76959/208092/105513/12757/74325/19157/19158/13430/232227/216238/13660/57440/13859/13854/13855/13858/14972/15239/15512/243621/16572/16574/18759/72543/83814/17999/93742/18571/18717/73728/74002/234353/107338/140500/106572/77407/271457/19344/19345/54189/15461/53869/78287/74998/52055/11848/20405/20404/20408/58194/54673/17126/98366/69780/27681/55988/67804/54198/225861/69150/69178/72183/229285/70527/56324/22088/84092/52348/107305/66914/70160/22365/116733/66201/73178/68524/330319/107568/319740",107
"mmu05132","mmu05132","Salmonella infection","100/1582","253/8997",5.50507816979135e-17,1.32968811178037e-15,6.77548082435858e-16,"50884/11308/11461/226977/54130/11651/23797/12306/56443/56444/66713/242894/74192/56378/67771/12028/12540/12387/19157/19158/16594/13427/13426/235661/234663/13191/69654/53598/67665/59288/22428/110350/56455/68097/13430/140580/140579/22027/66482/105504/53413/100041194/71999/14433/18479/70297/16649/16646/16572/16574/16593/74764/26409/26413/26417/26419/26420/26414/67938/26395/26396/26398/26399/26400/17113/18704/18481/320795/18643/18645/19878/271457/19344/19345/319642/19353/110157/56044/15461/11848/11852/56212/20194/66616/68652/66724/22142/22143/22146/22144/22145/53857/238463/22151/73710/22152/22153/77573/245880/73178",100
"mmu01200","mmu01200","Carbon metabolism","61/1582","121/8997",1.07201787089394e-16,2.40438293900499e-15,1.22516328102165e-15,"66171/11409/11428/11429/68738/60525/72141/76282/108682/11674/11676/239017/12359/12974/14661/13382/93747/13807/13885/14433/104174/227095/67834/15926/15929/269951/18746/107029/109264/17449/17448/104776/18293/78920/235339/18597/68263/18641/18642/56421/18648/56012/18655/67078/19139/108037/71832/224530/170718/66646/66945/67680/236539/107272/56451/20916/20917/21351/110446/21881/21991",61
"mmu05017","mmu05017","Spinocerebellar ataxia","65/1582","141/8997",3.05520781432809e-15,6.39556835799347e-14,3.2588883352833e-14,"56436/11739/11740/69597/11651/23797/11937/11938/53313/329015/20238/54138/20239/233871/53623/12286/71722/13131/20513/14682/16504/56543/18750/18751/18752/26408/215999/26419/26420/26414/14812/67134/74143/18795/18797/105675/67089/19179/23996/19181/19184/26440/19166/19167/26441/26444/19170/26445/19172/19175/19177/69077/66997/19185/66413/17463/57296/67151/80912/20743/18798/12421/29869/22333/74781",65
"mmu04932","mmu04932","Non-alcoholic fatty liver disease","69/1582","156/8997",5.79257603896674e-15,1.13679304764722e-13,5.79257603896674e-14,"108097/19082/105787/108079/70316/11651/23797/12028/12540/12857/12858/12859/12864/12867/110323/12866/66445/606496/56637/16367/384783/26408/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/19353/66945/67680/66694",69
"mmu01230","mmu01230","Biosynthesis of amino acids","44/1582","79/8997",1.93286075987e-14,3.57010752117165e-13,1.81916306811294e-13,"11428/11429/76282/108682/11674/11676/11846/109900/27053/11898/12035/12411/107869/12974/13807/14433/14645/67834/15926/15929/269951/18746/108645/238505/209027/69051/66194/56454/18641/18642/56421/18648/56012/18655/19139/108037/71832/170718/66646/236539/107272/21351/21881/21991",44
"mmu04530","mmu04530","Tight junction","70/1582","167/8997",9.8941720673817e-14,1.72598334953214e-12,8.7948196154504e-13,"51792/71978/76089/108097/19082/105787/108079/11461/75723/56443/16800/102098/66713/242894/74192/56378/67771/21872/12540/70737/58187/18417/23859/53310/22350/15525/16412/18747/18749/18754/18759/16897/26408/18016/26419/26420/26414/67938/26400/17475/56217/77579/71960/17886/17904/83814/17999/26941/93742/19052/19053/19878/235442/19353/19684/109905/70497/11848/105782/20869/104027/22142/22143/22146/22144/22145/53857/238463/21844/21873",70
"mmu04724","mmu04724","Glutamatergic synapse","53/1582","113/8997",4.80805906187877e-13,7.94595023910492e-12,4.04889184158212e-12,"432530/224129/11512/11514/11515/53623/12286/12288/19058/210274/20512/20513/14688/14693/14696/14702/14704/14708/14645/14660/14678/14679/14681/14682/14683/14802/14806/14807/108068/108069/268934/108073/14823/26556/26557/18747/18749/16519/18750/18751/18752/26413/26417/14812/18795/18797/19055/19056/18798/76257/243961/58234/140919",53
"mmu00020","mmu00020","Citrate cycle (TCA cycle)","24/1582","32/8997",1.61716771224542e-12,2.53895330822531e-11,1.29373416979633e-11,"11428/11429/239017/12974/13382/67834/15926/15929/269951/17449/17448/18293/78920/235339/18597/68263/74551/71832/170718/66945/67680/56451/20916/20917",24
"mmu04720","mmu04720","Long-term potentiation","37/1582","67/8997",3.33908411711355e-12,4.99272577511265e-11,2.54406408922937e-11,"432530/11514/109880/12288/70405/19058/12914/108058/14682/18747/18749/12322/12323/12325/12326/18750/18751/18752/20111/20112/26413/26417/26395/26396/14812/18795/18797/19055/19056/58200/11836/18798/110157/109905/215449/15461/16653",37
"mmu04012","mmu04012","ErbB signaling pathway","42/1582","84/8997",9.3276679366219e-12,1.33131260549967e-10,6.78375849936138e-11,"11350/11352/11651/23797/109880/208650/12576/12929/13869/108058/14083/18479/14388/14784/56637/12322/12323/12325/18750/18751/18752/72508/26413/26417/26419/26420/26414/26395/26396/26398/26400/17973/17974/224105/18481/214230/11836/110157/15461/16653/20418/20662",42
"mmu04360","mmu04360","Axon guidance","70/1582","181/8997",9.95529613194422e-12,1.35911434149152e-10,6.92542339613511e-11,"11350/226251/231148/319713/12168/19058/12540/12568/12631/12632/12934/65254/13642/13837/13838/13839/270190/13844/13845/108058/14083/18479/14678/14679/56637/16412/12322/12323/12325/18750/16728/16885/26413/26417/67938/17973/17974/18007/53972/80883/224105/18481/214230/93742/18607/18844/18845/243743/54712/19055/19056/19247/19878/218397/19353/170758/110157/15461/16653/11848/19876/268902/20351/20354/20355/20359/20361/14270/107448/22253",70
"mmu04727","mmu04727","GABAergic synapse","42/1582","89/8997",1.00764139339999e-10,1.31833082303165e-09,6.71760928933326e-10,"432530/224129/11512/11514/11515/12286/12287/12288/14415/14417/54393/242425/268860/14688/14693/14696/14702/14704/14708/14397/14401/14402/93739/268566/14645/14660/14678/14679/14681/15114/18747/18749/18750/18751/18752/18195/227120/70827/57138/76257/243616/22348",42
"mmu04728","mmu04728","Dopaminergic synapse","55/1582","135/8997",1.67922942394998e-10,2.10911215648118e-09,1.07470683132799e-09,"226849/26932/26931/51792/71978/224129/11651/23797/109731/53623/12286/12287/12288/70405/108058/14688/14693/14696/14702/14704/14708/14678/14679/14680/14681/14682/14683/14802/606496/56637/18747/18749/12322/12323/12325/16519/16572/16574/18750/18751/18752/26419/26420/26414/14812/18795/18797/19052/19053/19055/19056/19049/21770/18798/21823",55
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","59/1582","152/8997",3.62579386013888e-10,4.37884335416773e-09,2.23125776008547e-09,"226849/26932/26931/51792/71978/432530/224129/11512/11514/11515/11651/23797/11928/232975/11933/11937/11938/53313/67972/11941/12293/12288/12295/12297/12298/70405/12300/54376/81905/108058/20541/14678/14679/14682/14683/18747/18749/12322/12323/12325/18750/26413/26417/18795/18797/19052/19053/58200/381290/21770/22003/320707/18798/56508/20266/399548/20544/59069/326618",59
