Gene,Protein,Description,p_Value,Log2FC
Ywhab,1433B_MOUSE|Q9CQV8,14-3-3 protein beta/alpha,1.26E-01,3.19E-01
Ywhae,1433E_MOUSE|P62259,14-3-3 protein epsilon,7.25E-02,2.80E-01
Ywhah,1433F_MOUSE|P68510,14-3-3 protein eta,1.06E-01,3.77E-01
Ywhag,1433G_MOUSE|P61982,14-3-3 protein gamma,1.13E-01,3.64E-01
Ywhaq,1433T_MOUSE|P68254,14-3-3 protein theta,1.39E-01,3.61E-01
Ywhaz,1433Z_MOUSE|P63101,14-3-3 protein zeta/delta,1.22E-01,3.31E-01
Ppp2r5a,2A5A_MOUSE|Q6PD03,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,1.19E-02,6.10E-01
NA,2A5B_MOUSE|Q6PD28,NA,2.03E-03,7.36E-01
Ppp2r5e,2A5E_MOUSE|Q61151,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,5.87E-03,7.37E-01
Ppp2r5c,2A5G_MOUSE|Q60996,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,6.38E-04,1.25E+00
Ppp2r1a,2AAA_MOUSE|Q76MZ3,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,1.52E-02,5.85E-01
Ppp2r2a,2ABA_MOUSE|Q6P1F6,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,6.80E-02,4.70E-01
Sh3bp5,3BP5_MOUSE|Q9Z131,SH3 domain-binding protein 5,1.19E-03,9.76E-01
Hibadh,3HIDH_MOUSE|Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",1.53E-01,3.33E-01
Epb41,41_MOUSE|P48193,Protein 4.1,8.40E-04,1.07E+00
Eif4enif1,4ET_MOUSE|Q9EST3,Eukaryotic translation initiation factor 4E transporter,9.44E-04,1.48E+00
Slc3a2,4F2_MOUSE|P10852,4F2 cell-surface antigen heavy chain,1.02E-02,6.44E-01
Nt5c3a,5NT3A_MOUSE|Q9D020,Cytosolic 5'-nucleotidase 3A,1.79E-02,4.70E-01
Nt5c2,5NTC_MOUSE|Q3V1L4,Cytosolic purine 5'-nucleotidase,1.05E-02,5.71E-01
Mp68,68MP_MOUSE|P56379,6.8 kDa mitochondrial proteolipid,7.94E-02,4.93E-01
Pgd,6PGD_MOUSE|Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating",2.56E-01,1.96E-01
Pgls,6PGL_MOUSE|Q9CQ60,6-phosphogluconolactonase,1.01E-01,4.75E-01
Ank3,A0A087WNU5_MOUSE|A0A087WNU5,Ankyrin-3,5.01E-04,1.72E+00
Nfasc,A0A087WNW2_MOUSE|A0A087WNW2,Neurofascin,5.92E-02,3.70E-01
Dhx9,A0A087WPL5_MOUSE|A0A087WPL5,ATP-dependent RNA helicase A,8.57E-04,6.30E-01
Tns1,A0A087WQM0_MOUSE|A0A087WQM0,Protein Tns1,2.50E-01,1.43E-01
Ank3,A0A087WRP9_MOUSE|A0A087WRP9,Ankyrin-3,1.08E-03,1.38E+00
Col6a3,A0A087WS16_MOUSE|A0A087WS16,Protein Col6a3,6.58E-01,5.64E-01
Rapgef2,A0A0A6YWG7_MOUSE|A0A0A6YWG7,Rap guanine nucleotide exchange factor 2,4.73E-03,7.14E-01
Ncam1,A0A0A6YY91_MOUSE|A0A0A6YY91,Neural cell adhesion molecule 1,1.91E-03,7.75E-01
NA,A0A0G2JFH2_MOUSE|A0A0G2JFH2,NA,1.23E-03,1.21E+00
NA,A0A0G2JFH6_MOUSE|A0A0G2JFH6,NA,4.47E-04,1.59E+00
NA,A0A0G2JFZ4_MOUSE|A0A0G2JFZ4,NA,3.79E-04,1.42E+00
NA,A0A0J9YUS1_MOUSE|A0A0J9YUS1,NA,3.65E-03,6.30E-01
NA,A0A0J9YVH8_MOUSE|A0A0J9YVH8,NA,8.33E-04,1.37E+00
NA,A0A0N4SUM2_MOUSE|A0A0N4SUM2,NA,5.36E-02,2.96E-01
NA,A0A0N4SUV0_MOUSE|A0A0N4SUV0,NA,4.15E-04,1.54E+00
NA,A0A0N4SVL0_MOUSE|A0A0N4SVL0,NA,8.55E-04,1.51E+00
NA,A0A0N4SW73_MOUSE|A0A0N4SW73,NA,5.94E-04,1.52E+00
NA,A0A0N4SWD7_MOUSE|A0A0N4SWD7,NA,5.92E-04,1.55E+00
NA,A0A0R4J078_MOUSE|A0A0R4J078,NA,1.14E-03,1.00E+00
NA,A0A0R4J094_MOUSE|A0A0R4J094,NA,6.00E-02,5.25E-01
NA,A0A0R4J0B4_MOUSE|A0A0R4J0B4,NA,3.32E-02,4.11E-01
NA,A0A0R4J0I1_MOUSE|A0A0R4J0I1,NA,6.89E-02,1.15E+00
NA,A0A0R4J117_MOUSE|A0A0R4J117,NA,1.53E-01,4.75E-01
NA,A0A0R4J124_MOUSE|A0A0R4J124,NA,3.33E-03,8.14E-01
NA,A0A0R4J1I8_MOUSE|A0A0R4J1I8,NA,1.22E-03,1.52E+00
NA,A0A0R4J2C2_MOUSE|A0A0R4J2C2,NA,1.35E-04,1.59E+00
NA,A0A140LHX5_MOUSE|A0A140LHX5,NA,2.99E-03,8.54E-01
NA,A0A140LIW3_MOUSE|A0A140LIW3,NA,3.02E-04,1.71E+00
NA,A0A140LJD2_MOUSE|A0A140LJD2,NA,9.41E-04,1.22E+00
NA,A0A1B0GR85_MOUSE|A0A1B0GR85,NA,2.16E-03,1.47E+00
NA,A0A1D5RLA1_MOUSE|A0A1D5RLA1,NA,9.64E-02,5.83E-01
NA,A0A1D5RLD2_MOUSE|A0A1D5RLD2,NA,1.66E-03,7.60E-01
NA,A0A1D5RLG3_MOUSE|A0A1D5RLG3,NA,7.22E-04,8.91E-01
NA,A0A1D5RLM8_MOUSE|A0A1D5RLM8,NA,7.92E-02,-3.34E-01
NA,A0A1D5RM83_MOUSE|A0A1D5RM83,NA,1.40E-03,1.09E+00
NA,A0A1D5RM99_MOUSE|A0A1D5RM99,NA,2.94E-03,1.41E+00
NA,A0A1D5RMM1_MOUSE|A0A1D5RMM1,NA,6.35E-02,3.69E-01
