"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04144","mmu04144","Endocytosis","47/382","272/8997",5.97173907447318e-17,1.35558476990541e-14,1.15663156810849e-14,"230597/218038/228998/77038/66251/13196/211914/72685/30948/12402/75608/232227/216238/57440/13859/13854/13855/216963/15239/245666/243621/71955/93742/18719/73728/54189/78287/74998/52055/20405/20404/58194/98366/69780/56440/67804/54198/229285/20844/56324/52348/107305/28084/73178/68524/330319/218441",47
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","33/382","369/8997",3.8192486268732e-05,0.00278364989913818,0.00237510587267065,"14810/51897/329015/76559/20239/233871/12460/13067/16594/69654/218210/15114/15185/74764/380684/18040/14811/14812/18125/641340/227720/18141/18226/19069/269966/107939/19185/19386/229279/237782/230908/108989/56491",33
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","39/382","471/8997",4.29530446868712e-05,0.00278364989913818,0.00237510587267065,"14810/11789/11836/51897/329015/76559/20238/20239/233871/12005/109880/12460/13067/16594/69654/13385/13542/13543/13544/14816/108071/15114/93687/27373/74764/269881/380684/18040/14811/14812/18125/641340/19185/12323/13162/237782/230908/17762/56491",39
"mmu03040","mmu03040","Spliceosome","17/382","134/8997",4.90510995442851e-05,0.00278364989913818,0.00237510587267065,"56215/27967/72047/54633/70767/319322/67039/229279/67465/81898/67332/20227/66354/76938/67958/56070/60321",17
"mmu04810","mmu04810","Regulation of actin cytoskeleton","22/382","220/8997",0.000159316537993326,0.00723297082489702,0.00617141957700464,"329165/11789/11836/73341/54126/108100/12927/109880/12929/13800/14163/18479/216963/17931/224105/18481/18719/232807/232906/20544/237860/73178",22
"mmu05017","mmu05017","Spinocerebellar ataxia","16/382","141/8997",0.000304242058776368,0.0115104912237059,0.0098211471605003,"14810/51897/329015/76559/20238/20239/233871/71722/13067/14816/16504/14811/14812/641340/19185/80912",16
"mmu04720","mmu04720","Long-term potentiation","10/382","67/8997",0.000481176846134834,0.0156038777246582,0.0133137653667383,"14810/11836/109880/14816/108071/20112/14811/14812/58200/12323",10
"mmu04530","mmu04530","Tight junction","17/382","167/8997",0.000714467576045916,0.0181367176351527,0.0154748715273271,"75723/102098/192786/21872/70737/13383/23859/53310/54357/14924/231830/17475/56217/93742/105782/13043/104027",17
"mmu04520","mmu04520","Adherens junction","10/382","71/8997",0.000770491712033531,0.0181367176351527,0.0154748715273271,"21872/108100/12386/12388/380928/26409/93742/20411/245880/73178",10
"mmu04012","mmu04012","ErbB signaling pathway","11/382","84/8997",0.00079897434516091,0.0181367176351527,0.0154748715273271,"11352/11836/109880/12402/12929/18479/17973/224105/18481/12323/20418",11
"mmu04724","mmu04724","Glutamatergic synapse","13/382","113/8997",0.000966035914572378,0.0188795707824136,0.0161086993923677,"14810/243961/210274/13385/224997/14816/268934/108071/14823/16519/14811/14812/58234",13
"mmu03250","mmu03250","Viral life cycle - HIV-1","9/382","61/8997",0.000998038984092347,0.0188795707824136,0.0161086993923677,"12121/76895/75608/218210/15239/17754/17755/23988/19386",9
"mmu05010","mmu05010","Alzheimer disease","29/382","383/8997",0.00173935975160557,0.028119937403476,0.0239928981323422,"14810/11785/11789/11836/51897/329015/76559/12005/109880/13067/16594/13542/13543/13544/108071/16367/384783/93687/27373/74764/16151/14811/14812/18125/641340/19185/20168/68585/17762",29
"mmu04360","mmu04360","Axon guidance","17/382","181/8997",0.00174723203034694,0.028119937403476,0.0239928981323422,"226251/231148/319713/13176/259302/13800/18479/241568/17973/224105/18481/93742/12323/19876/117600/14270/237860",17
"mmu04015","mmu04015","Rap1 signaling pathway","19/382","214/8997",0.0018581456434015,0.028119937403476,0.0239928981323422,"14810/192786/12927/109880/12929/12388/13800/16590/14924/50791/99470/14811/14812/93742/107746/70549/110351/217692/244668",19
"mmu04136","mmu04136","Autophagy - other","6/382","32/8997",0.00199627554453553,0.0283221592880978,0.0241654408022722,"51897/329015/76559/67841/50540/18518",6
"mmu05211","mmu05211","Renal cell carcinoma","9/382","68/8997",0.00218464045040455,0.0291713754259901,0.0248900212306153,"11836/109880/12929/18479/224105/18481/107746/94315/209446",9
"mmu04390","mmu04390","Hippo signaling pathway","15/382","157/8997",0.00271165285188992,0.0341969554099451,0.0291780189910962,"11789/12005/12386/13383/23859/53310/13385/13542/13543/13544/27373/211652/56217/93742/105782",15
"mmu04330","mmu04330","Notch signaling pathway","8/382","60/8997",0.00362809194738309,0.0433461511608401,0.0369844276076725,"20238/13542/13543/13544/20602/18222/18223/66354",8
