"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05132","mmu05132","Salmonella infection","108/1416","253/8997",2.64380706208147e-25,8.32799224555664e-23,4.341409491418e-23,"66395/11308/11461/226977/54130/11651/23797/11867/11840/68724/67166/56444/66713/74117/76709/56378/68089/67771/17920/12028/12367/12540/12387/20430/19157/19158/16594/622434/13427/13426/235661/234663/13191/67665/22428/67068/110350/56455/68097/13430/100041194/140580/140579/22027/20336/105504/53413/192176/286940/68794/14433/70297/170760/15519/15516/16649/16648/16646/16572/16574/16573/16593/26413/26417/67938/26395/26396/26398/26399/17113/50884/16151/18704/18479/225326/320795/18643/26414/271457/19344/19345/19353/56044/15461/11848/11852/56212/19878/20130/27050/21402/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/71732/80743/228545/269338/218035/73178/110750",108
"mmu04144","mmu04144","Endocytosis","102/1416","272/8997",6.20993592720943e-19,9.78064908535486e-17,5.09868423497196e-17,"78618/347722/216439/213990/218038/71770/69710/212285/11867/11840/11843/11844/228998/66713/74117/76709/56378/68089/67771/109689/216869/13196/211673/30948/12345/12389/12340/12343/208650/12540/68953/68942/208092/105513/19157/19158/13429/13430/259300/13855/13858/216963/26385/193740/15482/232227/245666/16396/16572/16574/16573/18759/72543/16004/83814/17999/18571/18719/18717/73728/234353/107338/140500/12757/19325/106572/77407/19341/271457/19344/19345/17274/15461/53869/74998/11848/216724/70432/20405/20408/54673/17126/27681/55988/225861/69150/69178/72183/20779/20844/22042/22088/30930/69091/66914/56433/65114/70160/22365/66201/73178/330319",102
"mmu03010","mmu03010","Ribosome","77/1416","179/8997",1.45192295613908e-18,1.52451910394604e-16,7.94736775991919e-17,"19896/20042/20103/110954/238217/67025/269261/22121/67115/66480/319195/19899/76808/19921/19933/19934/65019/268449/68193/19941/19942/26451/19943/19944/27367/19946/114641/19951/68436/66489/57808/19982/67281/19981/67671/67891/22186/100503670/19988/19989/27176/26961/20005/11837/67186/68537/68463/67097/27207/68052/20044/20054/267019/20068/20084/20085/16898/67427/66475/20088/75617/27370/57294/78294/67941/54127/27050/14109/20102/20104/20115/20116/76846/16785/118451/77721/66258",77
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","143/1416","471/8997",1.83536146836972e-16,1.44534715634116e-14,7.53464181751781e-15,"12669/226977/54130/56436/56444/11951/51897/11947/12005/12048/12028/109880/12287/12333/12334/12367/12359/68942/12857/12864/12867/12995/13001/12387/12865/12866/16594/13191/67665/22428/108058/56228/14682/14763/14799/14802/56637/215114/13665/16438/93687/27373/16572/16574/16573/16593/18750/18751/18752/26408/67414/170731/26413/26417/66734/67443/26395/26396/26399/56717/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/18039/641340/19132/75669/225326/18795/18797/18803/19055/19056/67738/19122/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/26414/11836/15108/22272/271457/17274/19353/15461/16653/67790/12421/22186/78294/20190/66945/18412/20617/17762/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/641376/22201/22202/66694/29869/22333/22334",143
"mmu05171","mmu05171","Coronavirus disease - COVID-19","89/1416","247/8997",2.06206903184134e-15,1.27002110722845e-13,6.62066141111571e-14,"12260/12262/14962/12266/16451/18750/18751/18752/26413/26417/16151/18803/19896/20042/26414/20103/110954/238217/67025/269261/22121/67115/66480/319195/19899/76808/19921/19933/19934/65019/268449/68193/19941/19942/26451/19943/19944/27367/19946/114641/19951/68436/66489/57808/19982/67281/19981/67671/67891/22186/100503670/19988/19989/27176/26961/20005/11837/67186/67097/27207/68052/20044/20054/267019/20068/20084/20085/16898/67427/66475/20088/75617/27370/57294/78294/67941/54127/27050/14109/20102/20104/20115/20116/76846/16785/20846/20848/14061/22371",89
"mmu05012","mmu05012","Parkinson disease","93/1416","264/8997",2.41908782329228e-15,1.27002110722845e-13,6.62066141111571e-14,"56436/109731/11951/11947/12048/12028/12367/12857/12864/12867/12865/12866/16594/108058/56228/14677/14678/14679/14680/14683/14763/13665/16438/18749/16572/16574/16573/16593/26408/67414/170731/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/18803/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/26414/22272/22186/78294/67547/277468/66945/20617/17762/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/21823/22201/22202/66694/22333/22334",93
"mmu05016","mmu05016","Huntington disease","99/1416","302/8997",5.849352660441e-14,2.4280164088517e-12,1.2657328647648e-12,"226977/54130/56436/71770/56444/11951/51897/11947/12028/12287/12367/12857/12864/12867/12865/12866/16594/13191/67665/22428/20512/20511/14682/14799/14802/433759/15182/215114/16438/16572/16574/16573/16593/26408/56717/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/641340/75669/225326/18795/18797/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/12757/26414/22272/12421/66420/245841/20020/66945/20656/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/66694/29869/22333/22334",99
"mmu05020","mmu05020","Prion disease","91/1416","268/8997",6.16639087962336e-14,2.4280164088517e-12,1.2657328647648e-12,"17967/56436/11951/11947/12028/12260/12262/12287/12367/12389/12857/12864/12867/12995/13001/12865/12866/16594/14360/56637/193740/15482/13665/16438/18749/16572/16574/16573/16593/18753/26413/26417/17968/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/19055/19056/19122/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/26414/22272/19353/19354/20190/66945/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/66694/22333/22334",91
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","114/1416","369/8997",7.0958099518718e-14,2.48353348315513e-12,1.29467409648187e-12,"11461/226977/54130/56436/56009/11750/56444/11951/51897/11947/12048/12028/12367/12359/68942/12857/12864/12867/12865/12866/16594/13191/67665/22428/20511/13869/14799/15185/13665/16572/16574/16573/16593/26408/66734/67443/26399/56717/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/18039/641340/234865/170762/71805/53319/19132/75669/225326/19055/19056/18643/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/218210/22272/271457/17274/19353/67790/12421/53379/66945/110379/72124/18412/225027/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/21681/641376/66694/29869/22333",114
"mmu05010","mmu05010","Alzheimer disease","116/1416","383/8997",1.95159873366061e-13,6.14753601103092e-12,3.20473055211637e-12,"12669/11487/56436/11651/23797/11785/11951/51897/11947/12005/109880/12333/12334/12367/12857/12864/12867/12995/13001/12387/12865/12866/16594/15925/14433/14682/56637/13665/16367/384783/16438/93687/27373/16572/16574/16573/16593/16971/26408/26413/26417/26395/26396/56717/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/16151/641340/75669/225326/18795/18797/19055/19056/67738/19179/19181/26440/19166/19167/26441/26443/26444/73677/19170/26445/26446/19172/19173/19177/69077/23997/70247/21762/19185/66413/17463/26414/11836/15108/22272/15461/16653/12421/67547/277468/66945/20617/17762/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/66694/234664/29869/22333/22334",116
