"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04144","mmu04144","Endocytosis","90/871","272/8997",2.08433534693796e-27,5.91951238530382e-25,4.23449181009502e-25,"230597/227700/78618/347722/216439/213990/218038/11771/11772/11773/212285/228998/77038/66251/74192/216869/13196/211914/72685/211673/99371/30948/12402/208650/68942/75608/76959/105513/19157/13429/103967/232227/216238/13660/57440/98878/13859/13854/13855/13858/216963/26385/15239/245666/243621/71955/16572/16574/16004/83814/93742/18720/18719/18717/73728/234353/107338/54189/78287/74998/52055/216724/70432/20405/20404/20408/58194/98366/69780/27681/56440/67804/54198/229285/70527/20844/56324/22088/84092/52348/107305/28084/70160/22365/116733/73178/68524/330319/107568/218441",90
"mmu04721","mmu04721","Synaptic vesicle cycle","33/871","77/8997",1.88239958737519e-14,2.67300741407277e-12,1.91212168612322e-12,"11771/11772/11773/12286/12287/12889/12890/235415/13429/103967/20511/20510/20513/18195/116837/243616/232333/13162/15567/104245/240332/20614/20910/20979/382018/208898/22318/11964/11966/66144/72961/140919/22348",33
"mmu04070","mmu04070","Phosphatidylinositol signaling system","36/871","96/8997",1.70677022489062e-13,1.61574247956312e-11,1.15581281896101e-11,"110911/380921/320127/217480/56077/110197/110524/104418/331374/104015/18711/269180/234515/64436/16329/27399/53332/74302/54384/320634/108083/117150/107650/18720/18719/18717/225326/18795/18803/19211/227333/18798/101490/16332/327655/227399",36
"mmu04724","mmu04724","Glutamatergic synapse","39/871","113/8997",3.76764459254474e-13,2.67502766070676e-11,1.91356685884509e-11,"14810/432530/224129/11514/11515/53623/12286/12288/243961/210274/13385/224997/20511/20510/20513/14660/14799/14800/14802/14806/14807/14816/108068/268934/108071/108073/14823/26556/26557/16519/14811/14812/18795/19055/19056/18798/58234/72961/140919",39
"mmu04072","mmu04072","Phospholipase D signaling pathway","44/871","149/8997",5.49593372064312e-12,3.12169035332529e-10,2.23308464859815e-10,"432530/224129/11514/11515/19157/380921/320127/217480/56077/110197/110524/104418/13429/103967/331374/19229/14388/14389/14816/108068/268934/108071/108073/14823/16590/56717/18720/18719/18717/18795/68262/18803/19247/227333/18798/110157/56044/64143/56508/20418/20662/56632/64930/22084",44
"mmu04012","mmu04012","ErbB signaling pathway","31/871","84/8997",1.36732107051621e-11,6.47198640044337e-10,4.62970116858996e-10,"11350/11352/11836/109880/12402/208650/12576/12928/12929/13869/108058/14083/18479/14388/56637/12322/12323/12325/72508/26414/26398/56717/17973/17974/224105/18481/214230/18803/110157/20418/20662",31
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","92/871","471/8997",1.7452035417844e-11,7.08054008381098e-10,5.06502682051712e-10,"14810/12669/11789/11836/56444/11938/51897/329015/76559/20238/20239/233871/12005/53623/109880/12287/12288/12334/12367/12460/12568/68942/13000/13001/12387/13063/13067/16594/69654/67665/13385/13542/13543/13544/108058/233908/14799/14800/14802/14816/108071/56637/15114/15194/93687/27373/12322/12323/12325/16572/16574/16593/74764/269881/26414/26397/56717/380684/18039/18040/14811/14812/18125/641340/75669/225326/18795/18803/19055/19056/67738/19182/19181/19185/67151/20743/18798/110157/20190/13162/237782/18412/20617/230908/17762/238463/22201/22202/29869/56491/74781/217695",92
"mmu04360","mmu04360","Axon guidance","47/871","181/8997",1.48077220290264e-10,5.25674132030438e-09,3.76038204158171e-09,"11350/226251/231148/319713/69632/12168/12568/12631/13176/12934/259302/13642/13800/13836/108058/14083/18479/56637/12322/12323/12325/16885/241568/17973/17974/18007/224105/18481/214230/93742/18803/243743/19055/19056/19247/218397/110157/19876/268902/19878/20355/20359/117600/14270/237860/107448/22253",47
"mmu04720","mmu04720","Long-term potentiation","26/871","67/8997",1.68405911460882e-10,5.31414209498784e-09,3.80144338151465e-09,"14810/432530/11514/11836/109880/12288/108058/14799/14800/14816/108071/12322/12323/12325/12326/20111/20112/14811/14812/18795/19045/19055/19056/58200/18798/110157",26
"mmu03040","mmu03040","Spliceosome","38/871","134/8997",5.78868247173692e-10,1.64398582197328e-08,1.17601654425813e-08,"56215/71702/27967/74351/72047/212880/233908/15387/76936/23983/54633/56194/68988/70052/68879/70767/319322/64340/66810/67039/19655/15382/229279/20630/68981/67465/81898/67332/20227/66354/76938/67958/67439/56070/331401/22185/320632/60321",38
"mmu05017","mmu05017","Spinocerebellar ataxia","39/871","141/8997",7.67521619042808e-10,1.93630167994933e-08,1.38512314392224e-08,"14810/11938/51897/329015/76559/20238/54138/20239/233871/53623/12286/71722/13063/13067/13131/20513/14799/14800/14816/16504/56543/26414/56717/14811/14812/641340/75669/225326/18795/19182/19181/19185/67151/80912/20743/18798/20190/29869/74781",39
"mmu05033","mmu05033","Nicotine addiction","19/871","40/8997",8.18155639415208e-10,1.93630167994933e-08,1.38512314392224e-08,"14810/53623/12286/12287/14394/14396/14397/14400/14401/14402/14406/14799/14800/14802/14811/14812/72961/140919/22348",19
"mmu04727","mmu04727","GABAergic synapse","29/871","89/8997",1.90464751601008e-09,4.16092226574511e-08,2.97649368898742e-08,"432530/224129/11514/11515/12286/12287/12288/14415/14417/54393/242425/14394/14396/14397/14400/14401/14402/14406/268566/14660/15114/16522/18195/227120/70827/57138/243616/232333/22348",29
"mmu00562","mmu00562","Inositol phosphate metabolism","25/871","72/8997",5.72699673881105e-09,1.16176219558738e-07,8.31060429015438e-08,"104015/18711/269180/234515/64436/16329/53332/74302/54384/320634/108083/117150/107650/18720/18719/18717/170835/225326/18795/18803/269615/19211/18798/101490/16332",25
"mmu04728","mmu04728","Dopaminergic synapse","36/871","135/8997",1.00906788096584e-08,1.91050185462866e-07,1.36666737562391e-07,"226849/26932/26931/224129/17161/216869/53623/12286/12287/12288/13195/108058/14799/14800/14802/606496/56637/12322/12323/12325/16519/16522/16572/16574/26414/14811/14812/18795/19045/19055/19056/19049/21770/18798/13162/21823",36
"mmu04810","mmu04810","Regulation of actin cytoskeleton","47/871","220/8997",1.22598088780102e-07,2.17611607584681e-06,1.55667310095788e-06,"329165/12669/12672/11789/11836/73341/54126/69632/74192/108100/12927/109880/12631/12928/12929/20430/76884/13367/54004/13800/14083/14163/18711/18479/216963/16885/107589/17931/224105/18481/214230/108083/117150/18720/18719/18717/232807/19045/110157/232906/19878/20544/20662/237860/21844/83767/73178",47
"mmu05031","mmu05031","Amphetamine addiction","22/871","69/8997",2.65638307450476e-07,4.43772231270207e-06,3.17450113547628e-06,"14810/224129/17161/53623/12288/13195/108058/14799/14800/14802/12322/12323/12325/12326/14811/14812/19045/19055/19056/19049/13162/21823",22
"mmu04713","mmu04713","Circadian entrainment","27/871","98/8997",3.46438722970511e-07,5.46603318464584e-06,3.91009786744495e-06,"14810/432530/224129/11514/11515/53623/12288/70729/108058/14799/14800/14802/12322/12323/12325/16519/16522/73086/14811/14812/18125/11517/18626/18795/234889/18798/20190",27
"mmu04921","mmu04921","Oxytocin signaling pathway","35/871","153/8997",9.49865710811622e-07,1.38285066026878e-05,9.89214890407245e-06,"108097/105787/432530/224129/11514/11515/12288/12295/12297/12298/12300/54376/81905/108058/52163/12322/12323/12325/12326/16519/16522/207565/107589/17931/18795/232807/19045/19055/19056/234889/54720/18798/110157/19878/20190",35
"mmu05032","mmu05032","Morphine addiction","25/871","91/8997",9.95409790751782e-07,1.38285066026878e-05,9.89214890407245e-06,"432530/224129/11514/11515/216869/12286/12287/54393/242425/14394/14396/14397/14400/14401/14402/14406/26385/16519/16522/23984/18577/238871/218461/18578/22348",25
"mmu03015","mmu03015","mRNA surveillance pathway","27/871","103/8997",1.02253041780438e-06,1.38285066026878e-05,9.89214890407245e-06,"226849/26932/26931/326622/56215/68219/108062/228410/70248/13680/14852/14853/103677/66899/233908/74737/56422/67897/18949/19045/21770/19704/19826/226517/51796/230908/74320",27
"mmu04140","mmu04140","Autophagy - animal","33/871","142/8997",1.33102355584208e-06,1.71823040845069e-05,1.22912701568192e-05,"74370/105787/67605/51897/329015/76559/67841/50540/18518/16367/384783/207565/72508/26409/26414/74302/56717/641340/75669/225326/19211/110157/68441/245670/237782/67474/18412/20869/64930/22084/29869/74781/217695",33
"mmu05132","mmu05132","Salmonella infection","49/871","253/8997",1.47747359790504e-06,1.82435870350013e-05,1.30504532904198e-05,"66395/11308/56444/74192/12367/12387/13063/13067/20430/76884/19157/16594/622434/13427/13426/235661/234663/69654/67665/110350/100041194/140579/66482/20336/18479/70297/16572/16574/16593/74764/26409/26414/26397/26398/16151/18481/225326/320795/110157/56044/19878/68652/66724/238463/71732/80743/218035/245880/73178",49
"mmu04150","mmu04150","mTOR signaling pathway","35/871","157/8997",1.80135396253573e-06,2.13160218900062e-05,1.52483032793595e-05,"17254/74370/105787/67605/109880/56430/277854/13542/13543/13544/56637/75705/16367/20111/20112/72508/64898/252875/56717/19211/110157/78757/68441/245670/227743/20662/20869/72149/64930/22084/29869/11964/11966/66144/268933",35
"mmu04910","mmu04910","Insulin signaling pathway","32/871","139/8997",2.38946075473465e-06,2.71442741737857e-05,1.94175126595279e-05,"74370/108097/105787/11836/109880/12402/208650/12928/12929/14252/56637/216019/15275/16367/384783/19087/19088/72508/26414/56717/19045/54646/110078/19309/107746/110157/20418/16332/20662/20411/64930/22084",32
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","63/871","369/8997",4.50640158495396e-06,4.92237711587279e-05,3.52119638014621e-05,"14810/56444/51897/329015/76559/20239/233871/12367/12460/68942/13063/13067/16594/69654/67665/218210/20511/13869/233908/14799/14800/15114/15185/16572/16574/16593/74764/17184/26397/56717/380684/18039/18040/14811/14812/18125/641340/103468/227720/18141/18226/19069/269966/75669/225326/107939/19055/19056/19182/19181/19185/67151/19386/15382/229279/237782/18412/230908/238463/108989/29869/56491/74781",63
"mmu04024","mmu04024","cAMP signaling pathway","43/871","220/8997",5.0879247945757e-06,5.3517431172574e-05,3.8283410735014e-05,"14810/12669/432530/224129/11514/11515/98660/11938/67972/11941/53623/330953/109880/12288/108058/18479/54393/242425/14799/14800/14802/15166/12322/12323/12325/12326/26414/17931/14811/14812/11517/23984/18577/238871/19045/19049/320707/18578/110157/19878/56508/20544/21844",43
"mmu05010","mmu05010","Alzheimer disease","64/871","383/8997",7.83159480197098e-06,7.94347472771342e-05,5.68232254428721e-05,"14810/12669/11785/11789/11836/11938/51897/329015/76559/12005/109880/12288/12334/12367/12568/13000/13001/12387/13063/13067/16594/13542/13543/13544/15925/108071/56637/16367/384783/93687/27373/16572/16574/16593/74764/26414/56717/16151/14811/14812/18125/641340/75669/225326/18795/19055/19056/67738/19182/19181/19185/67151/18798/110157/20168/68585/227059/277468/20617/17762/238463/234664/29869/74781",64
"mmu05135","mmu05135","Yersinia infection","30/871","134/8997",8.9216541746122e-06,8.62620166619972e-05,6.17070764112878e-05,"54126/69632/74192/108100/12927/12928/12929/140579/14083/19229/56637/20111/20112/16885/26409/26414/26397/26398/16151/18720/18719/18717/320795/109333/18803/19878/68652/73178/68524/330319",30
"mmu04722","mmu04722","Neurotrophin signaling pathway","28/871","121/8997",9.11218485866167e-06,8.62620166619972e-05,6.17070764112878e-05,"11350/109880/12928/12929/108058/56484/327826/14388/56637/16367/12322/12323/12325/12326/20111/20112/73086/94275/26414/18213/18803/19247/107746/77480/110157/20399/20418/20662",28
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","32/871","152/8997",1.74155093231976e-05,0.000159548537025423,0.000114132200318409,"226849/26932/26931/432530/224129/11514/11515/98660/11938/67972/11941/12288/12295/12297/12298/12300/54376/81905/108058/20541/12322/12323/12325/73086/18795/19045/58200/21770/320707/18798/56508/20544",32
"mmu04136","mmu04136","Autophagy - other","12/871","32/8997",2.27274329574716e-05,0.000201705967497561,0.000144289294762895,"74370/51897/329015/76559/67841/50540/18518/56717/75669/225326/29869/74781",12
"mmu04010","mmu04010","MAPK signaling pathway","51/871","294/8997",2.38115349583934e-05,0.000204923512975264,0.000146590948866664,"76089/11836/216869/109880/12286/12287/12288/12290/12295/12297/12298/12367/12300/54376/81905/12928/12929/72349/13836/13869/18479/30957/16590/20111/20112/73086/26404/71751/26409/26412/225028/26921/26414/26397/26398/16151/18015/224105/19055/19056/19042/19043/218397/110157/19417/19418/20662/56274/16765/68652/17762",51
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","31/871","148/8997",2.60888227713869e-05,0.000217918401972761,0.000155886773835222,"66082/432530/224129/11514/11515/53623/12286/12287/12288/269060/14394/14396/14397/14400/14401/14402/14406/14799/14800/14802/14816/108071/16519/16522/26414/18795/18798/116837/72961/140919/22348",31
"mmu05231","mmu05231","Choline metabolism in cancer","23/871","98/8997",4.46052243246382e-05,0.000361939534519921,0.000258911527658802,"380921/320127/217480/56077/110197/110524/104418/331374/72508/26414/56717/18720/18719/18717/18803/227333/110157/63993/20662/64930/22084/83767/245880",23
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","22/871","92/8997",4.79253076794274e-05,0.000378077427248816,0.000270455683687997,"218038/74192/13196/211914/30948/12631/12928/12929/18479/14389/18754/72508/16885/18720/18719/18717/18803/110157/16332/56632/83767/245880",22
"mmu04015","mmu04015","Rap1 signaling pathway","39/871","214/8997",7.199455474024e-05,0.000552606852600761,0.000395304383068743,"76089/14810/110351/432530/224129/11514/11515/192786/12927/109880/12928/12929/12387/12388/238130/13800/13836/14026/16590/14924/50791/99470/26397/14811/14812/93742/18795/18803/107746/70549/18798/110157/56044/64143/51791/56508/217692/244668/21844",39
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","19/871","76/8997",8.16197660595902e-05,0.000610000356866411,0.00043636052214684,"74192/12927/12402/12488/12928/12929/12385/12386/12387/622434/13429/103967/140579/14083/14388/20418/13043/83767/73178",19
"mmu04530","mmu04530","Tight junction","31/871","167/8997",0.000276113014223298,0.00201066912921581,0.001438321504591,"76089/108097/105787/75723/102098/74192/192786/21872/70737/13383/23859/53310/54357/18754/14924/18016/231830/26414/17475/56217/83814/93742/70497/19878/105782/13043/20869/104027/238463/21844/21873",31
"mmu04725","mmu04725","Cholinergic synapse","23/871","112/8997",0.000377756780392962,0.00268207314079003,0.00191860680568004,"12669/12672/432530/224129/11514/11515/12286/12287/12288/12647/108058/12322/12323/12325/12326/16519/16522/16536/110862/226922/18795/18798/63993",23
"mmu04911","mmu04911","Insulin secretion","19/871","86/8997",0.000459461255522126,0.00314300974077963,0.00224833535941612,"432530/224129/11514/11515/98660/12288/116838/108058/12322/12323/12325/16531/11517/26875/18795/18798/56508/20614/22318",19
"mmu05030","mmu05030","Cocaine addiction","13/871","48/8997",0.000464811299692762,0.00314300974077963,0.00224833535941612,"14810/224129/17161/12568/13195/13385/14800/108068/14811/14812/19049/13162/21823",13
"mmu05211","mmu05211","Renal cell carcinoma","16/871","68/8997",0.000609420911429549,0.00402501253130213,0.00287927138080546,"11836/11864/109880/12928/12929/18479/14388/224105/18481/214230/19247/107746/94315/110157/20662/209446",16
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","23/871","116/8997",0.00063721246786977,0.00411291683806852,0.00294215326073841,"432530/224129/11514/11515/12927/12288/12928/12929/14083/56637/16367/384783/26414/26397/26398/56717/18795/18803/18798/110157/20418/20662/20846",23
"mmu03013","mmu03013","Nucleocytoplasmic transport","23/871","118/8997",0.000817178100242307,0.00510775634499029,0.00365380642914428,"326622/56215/13680/218210/13628/75751/103468/227720/18141/18226/19069/269966/18949/107939/19386/19704/19826/51796/331401/212999/108989/72322/65246",23
"mmu04211","mmu04211","Longevity regulating pathway","19/871","90/8997",0.000833516637806966,0.00510775634499029,0.00365380642914428,"74370/108097/105787/432530/224129/11514/11515/67605/51897/56484/16367/384783/12326/207565/72508/56717/20869/64930/22084",19
"mmu04510","mmu04510","Focal adhesion","34/871","201/8997",0.000845297704980787,0.00510775634499029,0.00365380642914428,"12835/12927/109880/12334/12833/12928/12929/12387/13367/11855/14083/18479/56637/26414/107589/17931/224105/18481/214230/18720/18719/18717/232807/19045/19211/107746/70549/110157/19417/232906/19878/20418/20662/22793",34
"mmu04520","mmu04520","Adherens junction","16/871","71/8997",0.00100734573446784,0.00596012892893475,0.00426354663930469,"21872/108100/13000/13001/12385/12386/12387/12388/380928/26409/93742/20411/83767/245880/73178/22612",16
"mmu04371","mmu04371","Apelin signaling pathway","25/871","137/8997",0.00134261086692,0.00778166298378125,0.00556657137090356,"108097/105787/432530/224129/11514/11515/20541/208727/15184/12326/18754/72508/17258/17261/56717/107589/18125/75669/225326/18795/18798/110157/20190/20544/56632",25
"mmu04730","mmu04730","Long-term depression","14/871","60/8997",0.00143241794964859,0.00813613395400399,0.00582014030067743,"11836/53623/109880/12286/14799/14800/14804/14816/18125/18795/234889/18798/110157/20190",14
"mmu04020","mmu04020","Calcium signaling pathway","38/871","240/8997",0.00155017827763504,0.00863236531075198,0.00617511677159056,"14810/12669/432530/11514/11515/11938/67972/11941/12286/12287/12288/12290/13869/108058/19229/20541/14816/108071/52163/12322/12323/12325/12326/107589/14811/18125/18213/269717/18795/18803/19055/19056/320707/18798/20190/56632/20866/116873",38
"mmu04925","mmu04925","Aldosterone synthesis and secretion","20/871","102/8997",0.00161787190601007,0.00883606964051652,0.00632083558420937,"432530/224129/11514/11515/98660/67972/11941/11908/12288/269060/108058/52163/12322/12323/12325/12326/18754/18795/320707/18798",20
"mmu04014","mmu04014","Ras signaling pathway","37/871","235/8997",0.00196571704802335,0.0105332762573327,0.00753492334197629,"14810/11350/11352/56784/72399/226525/13836/66482/18479/14388/14389/16590/16706/333050/26414/16151/18015/14811/14812/224105/18481/214230/18803/19247/218397/110157/56044/64143/19415/19765/19417/19418/228850/20418/20662/240057/21844",37
"mmu00561","mmu00561","Glycerolipid metabolism","14/871","63/8997",0.00234918704922349,0.0123549837403606,0.00883807213450553,"380921/320127/217480/56077/110197/110524/104418/331374/14933/14626/225010/64898/68262/227333",14
"mmu04114","mmu04114","Oocyte meiosis","22/871","121/8997",0.00266663805744796,0.0137695492420949,0.00984997406865946,"226849/26932/26931/432530/224129/11514/11515/17222/231207/208922/67579/108058/12322/12323/12325/20111/20112/19045/19055/19056/21770/20874",22
"mmu05016","mmu05016","Huntington disease","44/871","302/8997",0.00366387780467787,0.0185810945808663,0.0132918875244893,"14810/11771/11772/11773/56444/51897/329015/76559/53623/12287/12367/13063/13067/16594/69654/67665/13385/20511/14799/14800/14802/108071/15114/15194/16572/16574/16593/74764/269881/26414/56717/14812/641340/75669/225326/18795/19182/19181/19185/67151/18798/238463/29869/74781",44
"mmu05210","mmu05210","Colorectal cancer","17/871","88/8997",0.00412367542395673,0.0205460319369072,0.0146974950475281,"11789/11836/12005/109880/12367/12387/13063/13067/13176/56637/72508/26414/56717/110157/56044/64143/20662",17
"mmu05205","mmu05205","Proteoglycans in cancer","32/871","205/8997",0.00438861665256072,0.0214890884366766,0.015372105516229,"11735/11733/109676/11836/69632/109880/12367/12402/12387/13869/108058/14083/327826/18479/14388/75705/12322/12323/12325/72508/56717/17931/18803/232807/19045/19247/110157/19878/20544/20662/13043/21844",32
