"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","258/2188","471/8997",2.90785231650761e-48,9.24697036649421e-46,4.7137816499176e-46,"17762/14810/12669/226977/54130/56436/11739/11740/11789/11836/56444/11937/11938/53313/51897/329015/76559/71679/11946/11947/66043/11949/28080/20238/20239/233871/12005/53623/12048/12028/109880/12287/12288/70405/12333/12334/19058/12367/12359/12460/12568/68942/12857/12858/12859/12864/12867/12995/13000/13001/12387/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/13385/13542/13543/13544/108058/56228/233908/22154/14682/14763/14799/14800/14802/14816/108071/14828/56637/15114/15108/15194/215114/13665/16438/69926/93687/27373/12322/12323/12325/16572/16574/16573/16593/74764/18750/18751/18752/269881/26408/215999/67414/170731/26413/26417/26419/26420/26414/66734/67443/26395/26396/26397/26399/26400/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/380684/18039/18040/14811/14812/18125/641340/57320/19132/75669/225326/18795/18797/18803/19055/19056/67738/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/20743/18798/22273/67003/66576/67530/22272/66152/271457/17274/19353/110157/15461/16653/67790/12421/22186/78294/20190/20191/13162/66945/67680/237782/18412/20907/20617/230908/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/56480/269523/641376/53333/68015/22195/22201/22202/22223/66694/29869/56491/22333/22334/22335/74781/217695",258
"mmu05016","mmu05016","Huntington disease","181/2188","302/8997",5.16230992457322e-41,8.20807278007142e-39,4.18418804412777e-39,"14810/226977/54130/56436/11739/11740/11771/11772/71770/11773/232910/56444/51897/329015/76559/71679/11946/11947/66043/11949/28080/53623/12028/12287/12367/12914/12757/74325/67300/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/13385/20512/20511/22154/14682/14799/14800/14802/108071/15114/15194/433759/15182/215114/16438/69926/16572/16574/16573/16593/74764/269881/26408/26419/26420/26414/26400/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/14812/641340/75669/225326/18795/18797/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/18798/22273/67003/66576/67530/22272/66152/12421/66420/245841/20020/231329/66945/67680/20656/20907/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/21780/66694/29869/22333/22334/22335/74781",181
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","206/2188","369/8997",4.48723879188055e-40,4.75647311939338e-38,2.42468341736703e-38,"14810/11461/226977/54130/56436/11744/11750/56444/51897/329015/76559/71679/11946/11947/66043/11949/28080/20239/233871/12048/12028/19058/12367/12359/12460/68942/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/13191/69654/53598/67665/59288/22428/218210/20511/13869/233908/22154/14799/14800/14828/15114/15185/13665/69926/16572/16574/16573/16593/74764/26408/17184/215999/66734/67443/26397/26399/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/380684/18039/18040/14811/14812/18125/641340/103468/234865/170762/227720/18141/18226/19069/71805/269966/53319/19132/75669/225326/107939/19055/19056/18643/18645/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/70699/22273/67003/66576/67530/22272/66152/271457/17274/19353/66679/67790/12421/19386/15382/53379/229279/66945/67680/110379/72124/237782/18412/20383/225027/230908/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/56480/269523/641376/53333/108989/66694/29869/56491/22333/74781",206
"mmu05012","mmu05012","Parkinson disease","163/2188","264/8997",2.75624896917082e-39,2.1912179304908e-37,1.11700616119028e-37,"17762/224129/56436/11739/11740/17161/109731/71679/11946/11947/66043/11949/28080/12048/12028/70405/12367/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/16594/108058/56228/22154/14677/14678/14679/14680/14683/14763/14828/13665/16438/18747/18749/12322/12323/12325/16572/16574/16573/16593/74764/26408/215999/67414/170731/26419/26420/26414/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/57320/18803/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/22186/78294/67547/227059/277468/13162/66945/67680/20617/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/56551/68015/21823/22195/22201/22202/22223/66694/22333/22334/22335",163
"mmu05020","mmu05020","Prion disease","157/2188","268/8997",5.94387524352438e-34,3.78030465488151e-32,1.92706692105843e-32,"17967/14810/56436/11739/11740/71679/11946/11947/66043/11949/28080/12028/12260/12262/12287/12288/19058/12367/12389/12857/12858/12859/12864/12867/12995/13000/13001/110323/12865/12866/66445/13063/13067/16594/14360/22154/14828/56637/193740/15482/15512/15481/13665/16438/18747/18749/16572/16574/16573/16593/74764/18753/215999/26413/26417/26419/26420/26414/17968/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/14811/14812/19055/19056/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/22273/67003/66576/67530/22272/66152/19353/19354/20190/20191/66945/67680/20867/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/66694/22333/22334/22335",157
"mmu04144","mmu04144","Endocytosis","158/2188","272/8997",1.47590525933834e-33,7.8222978744932e-32,3.98753350768604e-32,"230597/227700/78618/347722/216439/213990/218038/11771/11772/71770/11773/232910/69710/212285/56443/11867/11840/11843/11844/11845/228998/77038/66251/66713/74117/242894/74192/76709/56378/68089/67771/109689/216869/13196/211914/72685/211673/99371/30948/12345/12389/12340/12343/12402/208650/12540/68953/68942/75608/76959/105513/12757/74325/67300/19157/19158/13429/13430/103967/232227/216238/13660/259300/57440/98878/13859/13854/13855/13858/216963/26385/15239/193740/15482/15512/15481/245666/243621/71955/16396/16572/16574/16573/18759/72543/16004/83814/17999/93742/18571/18720/18719/18717/73728/74002/234353/107338/140500/19325/106572/77407/19341/271457/19344/19345/17274/54189/15461/53869/78287/74998/52055/11848/216724/70432/20405/20404/20408/58194/54673/17126/98366/69780/27681/56440/55988/67804/54198/225861/69150/69178/72183/229285/20779/70527/20844/56324/22042/22088/84092/30930/69091/52348/107305/28084/66914/56433/65114/70160/22365/116733/66201/73178/68524/330319/107568/218441/319740",158
"mmu05010","mmu05010","Alzheimer disease","197/2188","383/8997",1.06047025435276e-31,4.81756486977396e-30,2.45582585218534e-30,"17762/14810/12669/11487/56436/11739/11740/11651/23797/11785/11789/11836/11937/11938/53313/51897/329015/76559/71679/11946/11947/66043/11949/28080/12005/109880/12288/70405/12333/12334/19058/12367/12568/12857/12858/12859/12864/12867/12995/13000/13001/12387/110323/12865/12866/66445/13063/13067/16594/13542/13543/13544/15925/14433/22154/14682/108071/56637/15108/13665/16367/384783/16438/93687/27373/16572/16574/16573/16593/74764/16971/26408/215999/26413/26417/26419/26420/26414/26395/26396/26400/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/16151/14811/14812/18125/641340/75669/225326/18795/18797/19055/19056/67738/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/78330/18798/22273/67003/66576/67530/22272/66152/110157/15461/16653/12421/20168/68585/67547/227059/277468/66945/67680/20617/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/66694/234664/29869/22333/22334/22335/74781",197
"mmu05132","mmu05132","Salmonella infection","142/2188","253/8997",4.53443196328385e-28,1.80243670540533e-26,9.18819108349621e-27,"66395/50884/11308/11461/226977/54130/11651/23797/56443/11867/11840/11845/68724/67166/56444/66713/74117/242894/74192/76709/56378/68089/67771/17920/12028/12367/12540/12387/13063/13067/20430/76884/19157/19158/16594/622434/13427/13426/235661/234663/13191/69654/53598/67665/59288/22428/67068/13424/110350/56455/68097/13430/100041194/140580/140579/22027/66482/20336/105504/53413/71999/192176/286940/68794/14433/22154/18479/70297/170760/15519/15516/16649/16648/16646/16572/16574/16573/16593/74764/26409/26413/26417/26419/26420/26414/67938/26395/26396/26397/26398/26399/26400/17113/16151/18704/18481/225326/320795/18643/18645/19878/271457/19344/19345/319642/19353/110157/56044/15461/11848/11852/56212/20130/27050/21402/66616/68652/66724/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/67951/56551/77573/71732/80743/228545/269338/218035/245880/73178/110750",142
"mmu05017","mmu05017","Spinocerebellar ataxia","91/2188","141/8997",2.46016634470635e-24,8.69258775129577e-23,4.4311768080091e-23,"14810/56436/11739/11740/69597/11651/23797/11937/11938/53313/51897/329015/76559/20238/54138/20239/233871/53623/12286/71722/13063/13067/13131/20513/14682/14799/14800/14816/16438/16504/56543/18750/18751/18752/26408/215999/26419/26420/26414/56717/14811/14812/67134/641340/74143/75669/225326/18795/18797/105675/67089/19179/19182/23996/19181/19184/26440/19166/19167/26441/26442/26443/26444/73677/19170/26445/26446/19173/19175/69077/66997/23997/59029/70247/21762/22123/19185/66413/17463/57296/67151/80912/20743/18798/12421/20190/29869/22333/22334/22335/74781",91
"mmu01200","mmu01200","Carbon metabolism","78/2188","121/8997",5.55501773106383e-21,1.7664956384783e-19,9.00497611140873e-20,"110208/66171/353204/14718/14719/11409/11428/11429/80911/68738/60525/11532/72141/76282/108682/11674/11676/239017/12359/12974/14661/13382/93747/13806/13807/13885/14433/14381/104174/227095/216019/15275/67834/15926/15929/269951/18746/107029/109264/17436/17449/17448/104776/18293/78920/235339/18597/68263/110821/66904/18641/18642/56421/18648/56012/18655/18663/67078/19139/110639/18563/108037/71832/224530/170718/66945/67680/257635/236539/107272/56451/20916/20917/21351/110460/110446/21881/21991",78
