Gene set	Description	Enrichment score	P-value	Genes in list	Genes not in list	Genes in list, not in set	Genes not in list, not in set
path:mmu04530	Tight junction	0.752736	0.471076	90	1	2255	45
path:mmu04120	Ubiquitin mediated proteolysis	1.00135	0.367382	51	0	2294	46
path:mmu00511	Other glycan degradation	0.0583035	0.943364	3	0	2342	46
path:mmu00640	Propanoate metabolism	0.46851	0.625934	24	0	2321	46
path:mmu04380	Osteoclast differentiation	0.507769	0.601837	26	0	2319	46
path:mmu05142	Chagas disease	0.133414	0.875102	31	1	2314	45
path:mmu05166	Human T-cell leukemia virus 1 infection	1.06094	0.34613	54	0	2291	46
path:mmu04140	Autophagy - animal	1.52036	0.218633	77	0	2268	46
path:mmu01250	Biosynthesis of nucleotide sugars	0.390093	0.676994	20	0	2325	46
path:mmu03018	RNA degradation	0.645439	0.524432	33	0	2312	46
path:mmu05417	Lipid and atherosclerosis	1.30006	0.272514	66	0	2279	46
path:mmu04962	Vasopressin-regulated water reabsorption	0.527411	0.590131	27	0	2318	46
path:mmu00051	Fructose and mannose metabolism	0.331368	0.717941	17	0	2328	46
path:mmu04064	NF-kappa B signaling pathway	0.292259	0.746575	15	0	2330	46
path:mmu04623	Cytosolic DNA-sensing pathway	0.116681	0.889869	6	0	2339	46
path:mmu00524	Neomycin, kanamycin and gentamicin biosynthesis	0.0388608	0.961885	2	0	2343	46
path:mmu04130	SNARE interactions in vesicular transport	0.292259	0.746575	15	0	2330	46
path:mmu05152	Tuberculosis	0.24076	0.78603	44	1	2301	45
path:mmu04979	Cholesterol metabolism	0.0249952	0.975315	12	1	2333	45
path:mmu00592	alpha-Linolenic acid metabolism	0.0388608	0.961885	2	0	2343	46
path:mmu04216	Ferroptosis	0.448893	0.638334	23	0	2322	46
path:mmu04925	Aldosterone synthesis and secretion	0.783523	0.456794	40	0	2305	46
path:mmu04742	Taste transduction	0.46851	0.625934	24	0	2321	46
path:mmu04927	Cortisol synthesis and secretion	0.390093	0.676994	20	0	2325	46
path:mmu00062	Fatty acid elongation	0.272717	0.761308	14	0	2331	46
