"","Protein","Gene","Description","Fold_Change","p_Value"
"1","1433B_MOUSE|Q9CQV8","Ywhab","14-3-3 protein beta/alpha",1.25,0.126
"2","1433E_MOUSE|P62259","Ywhae","14-3-3 protein epsilon",1.21,0.0725
"3","1433F_MOUSE|P68510","Ywhah","14-3-3 protein eta",1.3,0.106
"4","1433G_MOUSE|P61982","Ywhag","14-3-3 protein gamma",1.29,0.113
"5","1433T_MOUSE|P68254","Ywhaq","14-3-3 protein theta",1.28,0.139
"6","1433Z_MOUSE|P63101","Ywhaz","14-3-3 protein zeta/delta",1.26,0.122
"7","2A5A_MOUSE|Q6PD03","Ppp2r5a","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",1.53,0.0119
"8","2A5B_MOUSE|Q6PD28",NA,NA,1.67,0.00203
"9","2A5E_MOUSE|Q61151","Ppp2r5e","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform",1.67,0.00587
"10","2A5G_MOUSE|Q60996","Ppp2r5c","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform",2.38,0.000638
"11","2AAA_MOUSE|Q76MZ3","Ppp2r1a","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",1.5,0.0152
"12","2ABA_MOUSE|Q6P1F6","Ppp2r2a","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",1.38,0.068
"13","3BP5_MOUSE|Q9Z131","Sh3bp5","SH3 domain-binding protein 5",1.97,0.00119
"14","3HIDH_MOUSE|Q99L13","Hibadh","3-hydroxyisobutyrate dehydrogenase, mitochondrial",1.26,0.153
"15","41_MOUSE|P48193","Epb41","Protein 4.1",2.09,0.00084
"16","4ET_MOUSE|Q9EST3","Eif4enif1","Eukaryotic translation initiation factor 4E transporter",2.79,0.000944
"17","4F2_MOUSE|P10852","Slc3a2","4F2 cell-surface antigen heavy chain",1.56,0.0102
"18","5NT3A_MOUSE|Q9D020","Nt5c3a","Cytosolic 5'-nucleotidase 3A",1.39,0.0179
"19","5NTC_MOUSE|Q3V1L4","Nt5c2","Cytosolic purine 5'-nucleotidase",1.49,0.0105
"20","68MP_MOUSE|P56379","Mp68","6.8 kDa mitochondrial proteolipid",1.41,0.0794
"21","6PGD_MOUSE|Q9DCD0","Pgd","6-phosphogluconate dehydrogenase, decarboxylating",1.15,0.256
"22","6PGL_MOUSE|Q9CQ60","Pgls","6-phosphogluconolactonase",1.39,0.101
"23","A0A087WNU5_MOUSE|A0A087WNU5","Ank3","Ankyrin-3",3.29,0.000501
"24","A0A087WNW2_MOUSE|A0A087WNW2","Nfasc","Neurofascin",1.29,0.0592
"25","A0A087WPL5_MOUSE|A0A087WPL5","Dhx9","ATP-dependent RNA helicase A",1.55,0.000857
"26","A0A087WQM0_MOUSE|A0A087WQM0","Tns1","Protein Tns1",1.1,0.25
"27","A0A087WRP9_MOUSE|A0A087WRP9","Ank3","Ankyrin-3",2.61,0.00108
"28","A0A087WS16_MOUSE|A0A087WS16","Col6a3","Protein Col6a3",1.48,0.658
"29","A0A0A6YWG7_MOUSE|A0A0A6YWG7","Rapgef2","Rap guanine nucleotide exchange factor 2",1.64,0.00473
"30","A0A0A6YY91_MOUSE|A0A0A6YY91","Ncam1","Neural cell adhesion molecule 1",1.71,0.00191
"31","A0A0G2JFH2_MOUSE|A0A0G2JFH2",NA,NA,2.32,0.00123
"32","A0A0G2JFH6_MOUSE|A0A0G2JFH6",NA,NA,3.01,0.000447
"33","A0A0G2JFZ4_MOUSE|A0A0G2JFZ4",NA,NA,2.67,0.000379
"34","A0A0J9YUS1_MOUSE|A0A0J9YUS1",NA,NA,1.55,0.00365
"35","A0A0J9YVH8_MOUSE|A0A0J9YVH8",NA,NA,2.59,0.000833
"36","A0A0N4SUM2_MOUSE|A0A0N4SUM2",NA,NA,1.23,0.0536
"37","A0A0N4SUV0_MOUSE|A0A0N4SUV0",NA,NA,2.91,0.000415
"38","A0A0N4SVL0_MOUSE|A0A0N4SVL0",NA,NA,2.85,0.000855
"39","A0A0N4SW73_MOUSE|A0A0N4SW73",NA,NA,2.88,0.000594
"40","A0A0N4SWD7_MOUSE|A0A0N4SWD7",NA,NA,2.93,0.000592
"41","A0A0R4J078_MOUSE|A0A0R4J078",NA,NA,2,0.00114
"42","A0A0R4J094_MOUSE|A0A0R4J094",NA,NA,1.44,0.06
"43","A0A0R4J0B4_MOUSE|A0A0R4J0B4",NA,NA,1.33,0.0332
"44","A0A0R4J0I1_MOUSE|A0A0R4J0I1",NA,NA,2.21,0.0689
"45","A0A0R4J117_MOUSE|A0A0R4J117",NA,NA,1.39,0.153
"46","A0A0R4J124_MOUSE|A0A0R4J124",NA,NA,1.76,0.00333
"47","A0A0R4J1I8_MOUSE|A0A0R4J1I8",NA,NA,2.86,0.00122
"48","A0A0R4J2C2_MOUSE|A0A0R4J2C2",NA,NA,3.01,0.000135
"49","A0A140LHX5_MOUSE|A0A140LHX5",NA,NA,1.81,0.00299
"50","A0A140LIW3_MOUSE|A0A140LIW3",NA,NA,3.28,0.000302
"51","A0A140LJD2_MOUSE|A0A140LJD2",NA,NA,2.33,0.000941
"52","A0A1B0GR85_MOUSE|A0A1B0GR85",NA,NA,2.76,0.00216
"53","A0A1D5RLA1_MOUSE|A0A1D5RLA1",NA,NA,1.5,0.0964
"54","A0A1D5RLD2_MOUSE|A0A1D5RLD2",NA,NA,1.69,0.00166
"55","A0A1D5RLG3_MOUSE|A0A1D5RLG3",NA,NA,1.85,0.000722
"56","A0A1D5RLM8_MOUSE|A0A1D5RLM8",NA,NA,-1.26,0.0792
"57","A0A1D5RM83_MOUSE|A0A1D5RM83",NA,NA,2.12,0.0014
"58","A0A1D5RM99_MOUSE|A0A1D5RM99",NA,NA,2.66,0.00294
"59","A0A1D5RMM1_MOUSE|A0A1D5RMM1",NA,NA,1.29,0.0635
"60","A0A1L1SVJ6_MOUSE|A0A1L1SVJ6",NA,NA,1.39,0.0262
"61","A0A1W2P772_MOUSE|A0A1W2P772",NA,NA,1.66,0.000379
"62","A0A1W2P7W6_MOUSE|A0A1W2P7W6",NA,NA,2.63,0.000692
"63","A0A1W2P872_MOUSE|A0A1W2P872",NA,NA,2.03,0.000309
"64","A0A1W2P8G5_MOUSE|A0A1W2P8G5",NA,NA,1.04,0.751
