Feature,Transgenic_tdTOM_598_01,Transgenic_tdTOM_601_03,Transgenic_tdTOM_599_02,Transgenic_BioID2P2AtdTOM_552_01,Transgenic_tdTOM_580_04,Transgenic_BioID2P2AtdTOM_507_02,Transgenic_BioID2P2AtdTOM_584_05,Transgenic_BioID2P2AtdTOM_551_04,WT_tdTOM_607_02,WT_tdTOM_606_01,WT_tdTOM_525_04,WT_tdTOM_495_03,WT_BioID2P2AtdTOM_589_02,WT_BioID2P2AtdTOM_494_01,WT_BioID2P2AtdTOM_605_03
1433B_MOUSE|Q9CQV8,16.2966,16.2696,16.12,17.0593,16.1273,17.0748,17.6017,16.6345,16.5078,16.7502,15.695,15.6992,16.8717,16.6203,17.1903
1433E_MOUSE|P62259,14.9549,14.9193,14.8076,15.5306,14.5756,15.5746,15.9529,15.2004,15.2409,14.9988,14.3297,14.242,15.3794,15.2097,15.5601
1433F_MOUSE|P68510,15.1802,15.275,15.0403,15.8691,14.9834,15.888,16.254,15.4971,15.7846,15.4808,14.634,14.5275,15.8262,15.5038,16.1049
1433G_MOUSE|P61982,15.5496,15.3869,15.3993,16.1614,15.1133,16.1656,16.5261,15.7588,15.6769,15.3941,14.888,14.7434,15.9602,15.7166,16.3167
1433T_MOUSE|P68254,15.4436,15.5021,15.4508,16.0216,15.0736,16.2499,16.5029,15.8209,15.9243,15.3786,15.0458,14.8826,15.9539,15.7451,16.3795
1433Z_MOUSE|P63101,17.1515,17.2,16.9815,18.0088,16.8112,17.8975,18.4494,17.4438,17.4923,17.4677,16.4427,16.5024,17.7953,17.4342,18.0212
2A5A_MOUSE|Q6PD03,10.9189,11.3681,11.4622,12.7327,11.0721,13.0167,13.1708,12.879,11.688,11.6321,11.1944,11.3673,12.8018,12.4184,12.8834
2A5B_MOUSE|Q6PD28,14.1569,14.2671,14.4002,15.4117,14.2249,15.7266,15.59,15.6705,14.9916,13.9975,13.8286,14.064,15.5227,15.4662,15.7978
2A5E_MOUSE|Q61151,11.5949,11.5639,11.9184,12.8109,11.7436,13.1998,13.1918,13.0425,12.4089,12.098,11.2823,11.4586,13.0661,12.8235,13.343
2A5G_MOUSE|Q60996,12.3817,12.5234,12.9873,15.2634,12.4455,15.3168,14.5097,15.7289,13.2205,12.2611,12.6435,12.644,15.3663,15.577,15.0405
2AAA_MOUSE|Q76MZ3,14.3077,14.3289,14.4811,15.0853,14.3011,15.3138,15.5596,15.1791,14.7308,14.6081,14.195,14.0084,15.2994,15.0953,15.588
2ABA_MOUSE|Q6P1F6,13.5439,13.6052,13.4418,14.2375,13.4751,14.4211,14.8005,13.9192,14.056,13.6831,13.1669,13.3626,14.1887,14.131,14.6901
3BP5_MOUSE|Q9Z131,13.2509,13.5276,13.3761,15.5859,13.257,15.3636,15.2911,15.5895,13.5106,13.3652,13.6665,12.8589,15.5295,15.4954,15.1768
3HIDH_MOUSE|Q99L13,13.7643,13.7367,13.6962,14.1712,13.7128,14.3451,14.9624,14.1386,14.0359,14.2337,13.5857,13.1131,14.3917,14.0081,14.623
41_MOUSE|P48193,13.7208,13.7929,13.6917,16.007,13.6775,16.0548,15.9965,16.277,13.9104,14.0007,13.4374,13.5902,16.1229,16.0851,15.9226
4ET_MOUSE|Q9EST3,9.8125,9.71753,9.87641,13.773,9.36613,13.773,13.0685,14.0728,10.244,9.89851,10.4234,10.645,13.9621,14.1149,13.2481
4F2_MOUSE|P10852,14.7609,14.8898,14.9065,15.8737,14.6262,16.0815,16.4091,16.1572,15.4273,15.0351,14.2443,14.2369,16.0517,15.7704,16.2753
5NT3A_MOUSE|Q9D020,12.0108,12.1495,12.0939,12.7833,12.003,13.1432,13.3832,12.8679,12.6828,12.342,11.9336,12.0956,12.9679,12.8114,13.2203
5NTC_MOUSE|Q3V1L4,15.2228,15.2029,15.1696,16.2695,15.1844,16.457,16.796,16.0841,15.6436,15.7423,14.8831,15.3505,16.2296,16.2125,16.6071
68MP_MOUSE|P56379,15.8742,16.1198,15.9185,16.8884,15.7685,16.7307,17.1298,16.5911,16.5028,16.2421,15.2849,15.1296,16.7842,16.3983,17.1065
6PGD_MOUSE|Q9DCD0,13.8691,14.1451,13.9366,14.4466,14.0892,14.6398,14.8496,14.3912,14.1196,13.917,13.5546,13.5596,14.3335,14.1292,14.6181
6PGL_MOUSE|Q9CQ60,12.4273,12.5841,12.4377,13.0917,12.619,13.1303,13.4979,13.0767,12.887,12.8567,12.5358,11.6841,13.3115,12.8726,13.5603
A0A087WNU5_MOUSE|A0A087WNU5,11.9464,12.0059,11.794,16.6154,12.1457,16.8157,15.986,16.9965,11.1242,11.586,12.5726,11.9812,17.0168,17.2129,16.2947
A0A087WNW2_MOUSE|A0A087WNW2,12.2758,12.1872,12.2709,12.4485,12.076,12.9056,13.4452,12.875,13.0461,12.5278,11.9207,11.9995,12.9743,12.6793,13.14
A0A087WPL5_MOUSE|A0A087WPL5,15.0412,15.1369,14.9699,15.9439,14.9449,15.9978,16.0597,16.063,15.2855,14.8708,14.7124,14.6508,16.0286,15.942,16.1308
