"";"Protein";"Label";"log2FC";"SE";"DF";"pvalue";"adj.pvalue";"issue";"GeneName";"ProName"
"1";"1433B_MOUSE|Q9CQV8";"WtBvsALL";-1,83264906127573;0,282482290328808;14,2763805721369;1,30186483417987e-05;2,43257006107498e-05;NA;"Ywhab";"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"
"2";"1433E_MOUSE|P62259";"WtBvsALL";-2,02232963053441;0,244823050484479;14,2763805721369;8,20997679300232e-07;2,28639090984104e-06;NA;"Ywhae";"14-3-3 protein epsilon (14-3-3E)"
"3";"1433F_MOUSE|P68510";"WtBvsALL";-1,99062337806827;0,287595391632274;14,2763805721369;6,37122699465757e-06;1,30924082991994e-05;NA;"Ywhah";"14-3-3 protein eta"
"4";"1433G_MOUSE|P61982";"WtBvsALL";-1,83986637058145;0,25865418246479;14,2763805721369;4,68488173900422e-06;1,0087464362274e-05;NA;"Ywhag";"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"
"5";"1433T_MOUSE|P68254";"WtBvsALL";-1,95318267700475;0,273975005825701;14,2763805721369;4,5684185883934e-06;9,86596646526645e-06;NA;"Ywhaq";"14-3-3 protein theta (14-3-3 protein tau)"
"6";"1433Z_MOUSE|P63101";"WtBvsALL";-1,76504110962009;0,307449165883327;14,2763805721369;4,73074079692707e-05;7,57394876487254e-05;NA;"Ywhaz";"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)"
"7";"2A5A_MOUSE|Q6PD03";"WtBvsALL";-0,477565967155661;0,210319108003429;14,2763805721369;0,0391479978640382;0,0430484143359037;NA;"Ppp2r5a";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)"
"8";"2A5B_MOUSE|Q6PD28";"WtBvsALL";-0,740273830233765;0,262470889522935;14,2763805721369;0,0134155603377998;0,0152464532049867;NA;"Ppp2r5b";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)"
"9";"2A5E_MOUSE|Q61151";"WtBvsALL";-0,831222076136697;0,236891081304479;14,2763805721369;0,00338233513726867;0,00404449381396545;NA;"Ppp2r5e";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)"
"10";"2A5G_MOUSE|Q60996";"WtBvsALL";1,80304121235143;0,392806694729352;14,2763805721369;0,000400185419756513;0,000533720423517992;NA;"Ppp2r5c";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-alpha-3) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma)"
"11";"2AAA_MOUSE|Q76MZ3";"WtBvsALL";-1,58106213298842;0,187492280609093;14,2763805721369;6,40919011171536e-07;1,83925320295588e-06;NA;"Ppp2r1a";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)"
"12";"2ABA_MOUSE|Q6P1F6";"WtBvsALL";-1,85531448631133;0,260605839865535;14,2763805721369;4,64030921672681e-06;1,00084329354413e-05;NA;"Ppp2r2a";"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)"
"13";"3BP5_MOUSE|Q9Z131";"WtBvsALL";0,702085708126363;0,243707788813439;14,2763805721369;0,0118973532879378;0,0135604241776496;NA;"Sh3bp5";"SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)"
"14";"3HIDH_MOUSE|Q99L13";"WtBvsALL";-2,17717812193584;0,271372252495025;14,2763805721369;1,16172491777112e-06;3,09793311405633e-06;NA;"Hibadh";"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)"
"15";"41_MOUSE|P48193";"WtBvsALL";1,21913459979829;0,141228933110046;14,2763805721369;4,83143987066581e-07;1,46672828531907e-06;NA;"Epb41";"Protein 4.1 (P4.1) (4.1R) (Band 4.1) (Erythrocyte membrane protein band 4.1)"
"16";"4ET_MOUSE|Q9EST3";"WtBvsALL";5,1459618703377;0,393788277434533;14,2763805721369;2,4540896438072e-09;2,48360614462697e-08;NA;"Eif4enif1";"Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (CD40 ligand-activated specific transcript 4) (Eukaryotic translation initiation factor 4E nuclear import factor 1)"
"17";"4F2_MOUSE|P10852";"WtBvsALL";-0,821748241445441;0,255365361534704;14,2763805721369;0,00606418159870722;0,007089741722018;NA;"Slc3a2";"4F2 cell-surface antigen heavy chain (4F2hc) (Solute carrier family 3 member 2) (CD antigen CD98)"
"18";"5NT3A_MOUSE|Q9D020";"WtBvsALL";-1,7363835011885;0,204560318839138;14,2763805721369;5,92064016779935e-07;1,73426696452292e-06;NA;"Nt5c3a";"Cytosolic 5'-nucleotidase 3A (EC 3.1.3.5) (7-methylguanosine phosphate-specific 5'-nucleotidase) (7-methylguanosine nucleotidase) (EC 3.1.3.91) (Cytosolic 5'-nucleotidase 3) (Cytosolic 5'-nucleotidase III) (cN-III) (Lupin) (Pyrimidine 5'-nucleotidase 1) (P5'N-1) (P5N-1) (PN-I)"
"19";"5NTC_MOUSE|Q3V1L4";"WtBvsALL";-1,3012598373857;0,225339527108524;14,2763805721369;4,45539472336034e-05;7,17602037114828e-05;NA;"Nt5c2";"Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)"
"20";"68MP_MOUSE|P56379";"WtBvsALL";-1,56492975773135;0,301208611114989;14,2763805721369;0,000127409720513983;0,000184900358806374;NA;"Atp5mj";"ATP synthase subunit ATP5MJ, mitochondrial (6.8 kDa mitochondrial proteolipid protein) (MLQ)"
"21";"6PGD_MOUSE|Q9DCD0";"WtBvsALL";-2,30849267457712;0,185644627106242;14,2763805721369;4,72396665965716e-09;3,77917332772573e-08;NA;"Pgd";"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"22";"6PGL_MOUSE|Q9CQ60";"WtBvsALL";-2,01343681956413;0,267907311861833;14,2763805721369;2,49615901047863e-06;5,90993813183587e-06;NA;"Pgls";"6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)"
"23";"A0A087WNU5_MOUSE|A0A087WNU5";"WtBvsALL";6,60459340579446;0,588997192238365;14,2763805721369;1,81760994882494e-08;1,06055039215841e-07;NA;"Ank3";"Ankyrin-3 (Fragment)"
"24";"A0A087WNW2_MOUSE|A0A087WNW2";"WtBvsALL";-2,1790462288838;0,283362373444228;14,2763805721369;1,91175850155948e-06;4,71270700384429e-06;NA;"Nfasc";"Neurofascin"
"25";"A0A087WPL5_MOUSE|A0A087WPL5";"WtBvsALL";-1,30599715945453;0,155507366402252;14,2763805721369;6,73193288864531e-07;1,92103614904248e-06;NA;"Dhx9";"DEAH box protein 9 (EC 3.6.4.13) (Nuclear DNA helicase II)"
"26";"A0A087WQM0_MOUSE|A0A087WQM0";"WtBvsALL";-2,23594849856221;0,508405003137457;14,2763805721369;0,000580650300129747;0,000755201617346664;NA;"Tns1";"Tensin 1"
"27";"A0A087WRP9_MOUSE|A0A087WRP9";"WtBvsALL";3,07717206265436;0,471786109568613;14,2763805721369;1,2283417340474e-05;2,31645765116129e-05;NA;"Ank3";"Ankyrin-3 (Fragment)"
"28";"A0A087WS16_MOUSE|A0A087WS16";"WtBvsALL";-3,0825657120584;1,07754571657839;14,2763805721369;0,0123830665072224;0,0141013971326651;NA;"Col6a3";"Collagen, type VI, alpha 3"
"29";"A0A0A6YWG7_MOUSE|A0A0A6YWG7";"WtBvsALL";-0,049644469965192;0,192816869544996;14,2763805721369;0,800490367303669;0,809559727457974;NA;"Rapgef2";"Cyclic nucleotide ras GEF (Neural RAP guanine nucleotide exchange protein) (PDZ domain-containing guanine nucleotide exchange factor 1) (RA-GEF-1) (Rap guanine nucleotide exchange factor 2) (Ras/Rap1-associating GEF-1)"
"30";"A0A0A6YX99_MOUSE|A0A0A6YX99";"WtBvsALL";5,0747306210147;0,403612734801828;10,2763805721369;1,4355388153155e-07;5,32363082530998e-07;NA;"Cep170";"Centrosomal protein of 170 kDa (Fragment)"
"31";"A0A0A6YY91_MOUSE|A0A0A6YY91";"WtBvsALL";-0,149154358950574;0,217855689179496;14,2763805721369;0,50453036413034;0,518386609994986;NA;"Ncam1";"Neural cell adhesion molecule 1 (Fragment)"
"32";"A0A0G2JDN7_MOUSE|A0A0G2JDN7";"WtBvsALL";6,79179796926708;0,430890328444054;8,27638057213694;1,83236813941045e-07;6,47632889893853e-07;NA;"Map4";"Microtubule-associated protein"
"33";"A0A0G2JFH2_MOUSE|A0A0G2JFH2";"WtBvsALL";4,29243129759492;0,361908844485476;14,2763805721369;8,77520679085525e-09;6,02780940183508e-08;NA;"Map4";"Microtubule-associated protein (Fragment)"
"34";"A0A0G2JFH6_MOUSE|A0A0G2JFH6";"WtBvsALL";4,35471900676222;0,461206836712995;14,2763805721369;1,60737754720588e-07;5,83749961469203e-07;NA;"Nhsl2";"NHS-like protein 2 (Fragment)"
"35";"A0A0G2JFZ4_MOUSE|A0A0G2JFZ4";"WtBvsALL";1,31804586616173;0,455661742280732;14,2763805721369;0,0116224896669663;0,0132560473941996;NA;"Tsc22d2";"TSC22 domain family, member 2"
"36";"A0A0G2JFZ5_MOUSE|A0A0G2JFZ5";"WtBvsALL";0,945531827230796;0,317071687212671;8,27638057213694;0,0168883402597241;0,0190442985907527;NA;"Lrrc7";"Leucine-rich repeat-containing protein 7 (Fragment)"
"37";"A0A0J9YUS1_MOUSE|A0A0J9YUS1";"WtBvsALL";-1,43484673425387;0,200195136022683;14,2763805721369;4,29976467313353e-06;9,37728360775972e-06;NA;"Hectd4";"HECT domain E3 ubiquitin protein ligase 4 (Fragment)"
"38";"A0A0J9YVH8_MOUSE|A0A0J9YVH8";"WtBvsALL";5,53674774018631;0,258510830173689;14,2763805721369;2,95848896638731e-12;1,82211731388086e-09;NA;"Syngap1";"Ras/Rap GTPase-activating protein SynGAP (Fragment)"
"39";"A0A0N4SUM2_MOUSE|A0A0N4SUM2";"WtBvsALL";-3,30062071626289;0,258630524500406;14,2763805721369;3,35650950897992e-09;2,93435058104637e-08;NA;"Hnrnpa2b1";"Heterogeneous nuclear ribonucleoproteins A2/B1 (Fragment)"
"40";"A0A0N4SUV0_MOUSE|A0A0N4SUV0";"WtBvsALL";4,19646566242656;0,306651636288465;14,2763805721369;1,32963107949767e-09;1,6870730504948e-08;NA;"Plekha5";"Pleckstrin homology domain-containing, family A member 5"
"41";"A0A0N4SV80_MOUSE|A0A0N4SV80";"WtBvsALL";10,0144188609958;0,662557847010164;13,2763805721369;9,48496000522901e-10;1,35180606461079e-08;NA;"Zfp638";"Zinc finger protein 638"
"42";"A0A0N4SVL0_MOUSE|A0A0N4SVL0";"WtBvsALL";7,67842411903059;0,613512853895085;14,2763805721369;4,33967174734467e-09;3,57285596286241e-08;NA;"Eif4g3";"Eukaryotic translation initiation factor 4 gamma 3"
"43";"A0A0N4SW73_MOUSE|A0A0N4SW73";"WtBvsALL";6,10083934563538;0,402515109342787;14,2763805721369;3,37799269728548e-10;7,01519463011776e-09;NA;"Rab11fip5";"Rab11 family-interacting protein 5"
"44";"A0A0N4SWD7_MOUSE|A0A0N4SWD7";"WtBvsALL";6,2795095083512;0,442732426089654;14,2763805721369;8,24273722852117e-10;1,24080020765431e-08;NA;"Plekha5";"Pleckstrin homology domain-containing, family A member 5 (Fragment)"
"45";"A0A0R4J078_MOUSE|A0A0R4J078";"WtBvsALL";1,09024398368279;0,184329023462485;14,2763805721369;3,47985820432755e-05;5,79179540190336e-05;NA;"Ubxn4";"UBX domain-containing protein 4"
"46";"A0A0R4J094_MOUSE|A0A0R4J094";"WtBvsALL";-1,40244379023361;0,322355135458456;14,2763805721369;0,000636791211259375;0,000824425873508321;NA;"Fahd2a";"Fumarylacetoacetate hydrolase domain-containing 2A"
"47";"A0A0R4J0B4_MOUSE|A0A0R4J0B4";"WtBvsALL";-1,5994619579944;0,39313884562284;14,2763805721369;0,00110849874989816;0,00139397964396486;NA;"Cmas";"CMP-N-acetylneuraminic acid synthase (EC 2.7.7.43) (N-acylneuraminate cytidylyltransferase)"
