"";"Protein";"Label";"log2FC";"SE";"DF";"pvalue";"adj.pvalue";"issue";"GeneName";"ProName"
"1";"1433B_MOUSE|Q9CQV8";"WtTdvsALL";0,0545822065449705;0,282482290328808;14,2763805721369;0,849505990571581;0,997406586915467;NA;"Ywhab";"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"
"2";"1433E_MOUSE|P62259";"WtTdvsALL";-0,033526674772455;0,244823050484479;14,2763805721369;0,892988777604533;0,997406586915467;NA;"Ywhae";"14-3-3 protein epsilon (14-3-3E)"
"3";"1433F_MOUSE|P68510";"WtTdvsALL";-0,0511828221878232;0,287595391632274;14,2763805721369;0,86124857297214;0,997406586915467;NA;"Ywhah";"14-3-3 protein eta"
"4";"1433G_MOUSE|P61982";"WtTdvsALL";-0,135132891265497;0,25865418246479;14,2763805721369;0,609371937900738;0,997406586915467;NA;"Ywhag";"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"
"5";"1433T_MOUSE|P68254";"WtTdvsALL";-0,0406247240084812;0,273975005825701;14,2763805721369;0,884196647624216;0,997406586915467;NA;"Ywhaq";"14-3-3 protein theta (14-3-3 protein tau)"
"6";"1433Z_MOUSE|P63101";"WtTdvsALL";0,036284819059857;0,307449165883327;14,2763805721369;0,907697097811359;0,997406586915467;NA;"Ywhaz";"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)"
"7";"2A5A_MOUSE|Q6PD03";"WtTdvsALL";0,410187893217949;0,210319108003429;14,2763805721369;0,0710537904451752;0,997406586915467;NA;"Ppp2r5a";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)"
"8";"2A5B_MOUSE|Q6PD28";"WtTdvsALL";-0,141275708607055;0,262470889522935;14,2763805721369;0,59869470397207;0,997406586915467;NA;"Ppp2r5b";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)"
"9";"2A5E_MOUSE|Q61151";"WtTdvsALL";-0,0131413793154563;0,236891081304479;14,2763805721369;0,956529455716515;0,997406586915467;NA;"Ppp2r5e";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)"
"10";"2A5G_MOUSE|Q60996";"WtTdvsALL";-0,118979764612397;0,392806694729352;14,2763805721369;0,766337437506043;0,997406586915467;NA;"Ppp2r5c";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-alpha-3) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma)"
