"";"Protein";"Label";"log2FC";"SE";"DF";"pvalue";"adj.pvalue";"issue";"GeneName";"ProName"
"1";"1433B_MOUSE|Q9CQV8";"Tg_tdTomvsAll";0,327828252962211;0,282482290328808;14,2763805721369;0,264873713397527;0,892607717332709;NA;"Ywhab";"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"
"2";"1433E_MOUSE|P62259";"Tg_tdTomvsAll";0,38208806959568;0,244823050484479;14,2763805721369;0,140490478785436;0,782556390361803;NA;"Ywhae";"14-3-3 protein epsilon (14-3-3E)"
"3";"1433F_MOUSE|P68510";"Tg_tdTomvsAll";0,167446992225439;0,287595391632274;14,2763805721369;0,569492468652168;0,9704869979044;NA;"Ywhah";"14-3-3 protein eta"
"4";"1433G_MOUSE|P61982";"Tg_tdTomvsAll";0,430833118266313;0,25865418246479;14,2763805721369;0,117561612170889;0,754382322997666;NA;"Ywhag";"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"
"5";"1433T_MOUSE|P68254";"Tg_tdTomvsAll";0,271408658500452;0,273975005825701;14,2763805721369;0,338358793024564;0,924587791748017;NA;"Ywhaq";"14-3-3 protein theta (14-3-3 protein tau)"
"6";"1433Z_MOUSE|P63101";"Tg_tdTomvsAll";0,34844965557717;0,307449165883327;14,2763805721369;0,275739107043665;0,897135698276813;NA;"Ywhaz";"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)"
"7";"2A5A_MOUSE|Q6PD03";"Tg_tdTomvsAll";0,0724706156757372;0,210319108003429;14,2763805721369;0,73543757617416;0,987389260187471;NA;"Ppp2r5a";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)"
"8";"2A5B_MOUSE|Q6PD28";"Tg_tdTomvsAll";0,13507004043896;0,262470889522935;14,2763805721369;0,614700055978115;0,977222703306514;NA;"Ppp2r5b";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)"
"9";"2A5E_MOUSE|Q61151";"Tg_tdTomvsAll";-0,0339750960504803;0,236891081304479;14,2763805721369;0,887962614298528;0,993942334063528;NA;"Ppp2r5e";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)"
"10";"2A5G_MOUSE|Q60996";"Tg_tdTomvsAll";-0,142055143913832;0,392806694729352;14,2763805721369;0,722916481715867;0,987113946152265;NA;"Ppp2r5c";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-alpha-3) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma)"
"11";"2AAA_MOUSE|Q76MZ3";"Tg_tdTomvsAll";0,0150244305521131;0,187492280609093;14,2763805721369;0,937243503141593;0,995025495498285;NA;"Ppp2r1a";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)"
"12";"2ABA_MOUSE|Q6P1F6";"Tg_tdTomvsAll";0,0463734624631021;0,260605839865535;14,2763805721369;0,861266554721259;0,99166683997824;NA;"Ppp2r2a";"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)"
"13";"3BP5_MOUSE|Q9Z131";"Tg_tdTomvsAll";0,148578075063089;0,243707788813439;14,2763805721369;0,551669672704146;0,96343378856196;NA;"Sh3bp5";"SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)"
"14";"3HIDH_MOUSE|Q99L13";"Tg_tdTomvsAll";0,137844002376114;0,271372252495025;14,2763805721369;0,619244555517232;0,977222703306514;NA;"Hibadh";"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)"
"15";"41_MOUSE|P48193";"Tg_tdTomvsAll";0,115365846167782;0,141228933110046;14,2763805721369;0,427423761703063;0,944466995330401;NA;"Epb41";"Protein 4.1 (P4.1) (4.1R) (Band 4.1) (Erythrocyte membrane protein band 4.1)"
"16";"4ET_MOUSE|Q9EST3";"Tg_tdTomvsAll";-0,272399476390674;0,393788277434533;14,2763805721369;0,500195901459737;0,954287212908376;NA;"Eif4enif1";"Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (CD40 ligand-activated specific transcript 4) (Eukaryotic translation initiation factor 4E nuclear import factor 1)"
"17";"4F2_MOUSE|P10852";"Tg_tdTomvsAll";0,246871960854533;0,255365361534705;14,2763805721369;0,349766466028217;0,927740196621048;NA;"Slc3a2";"4F2 cell-surface antigen heavy chain (4F2hc) (Solute carrier family 3 member 2) (CD antigen CD98)"
