"";"Protein";"Label";"log2FC";"SE";"DF";"pvalue";"adj.pvalue";"issue";"GeneName";"ProName"
"1";"1433B_MOUSE|Q9CQV8";"Tg_BioIDvsAll";-1,45023860176855;0,476563099456623;14,2763805721369;0,00860711732809716;0,0134458130074788;NA;"Ywhab";"14-3-3 protein beta/alpha (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]"
"2";"1433E_MOUSE|P62259";"Tg_BioIDvsAll";-1,67376823571118;0,413029898693828;14,2763805721369;0,00114418392999287;0,00246992822236026;NA;"Ywhae";"14-3-3 protein epsilon (14-3-3E)"
"3";"1433F_MOUSE|P68510";"Tg_BioIDvsAll";-1,87435920803066;0,485189181474646;14,2763805721369;0,00166575738730813;0,00337395445327379;NA;"Ywhah";"14-3-3 protein eta"
"4";"1433G_MOUSE|P61982";"Tg_BioIDvsAll";-1,54416614358064;0,436363776077286;14,2763805721369;0,0031859292409436;0,00581003870176382;NA;"Ywhag";"14-3-3 protein gamma [Cleaved into: 14-3-3 protein gamma, N-terminally processed]"
"5";"1433T_MOUSE|P68254";"Tg_BioIDvsAll";-1,72239874251278;0,462210844431924;14,2763805721369;0,0021879549025413;0,00420722393958055;NA;"Ywhaq";"14-3-3 protein theta (14-3-3 protein tau)"
"6";"1433Z_MOUSE|P63101";"Tg_BioIDvsAll";-1,38030663498307;0,518683586316736;14,2763805721369;0,018376327381256;0,0261534975428897;NA;"Ywhaz";"14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)"
"7";"2A5A_MOUSE|Q6PD03";"Tg_BioIDvsAll";0,00509254173802509;0,354819857444509;14,2763805721369;0,988747426775913;0,990304509337765;NA;"Ppp2r5a";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)"
"8";"2A5B_MOUSE|Q6PD28";"Tg_BioIDvsAll";-0,74647949840186;0,442802769981047;14,2763805721369;0,113556467768323;0,13402349988523;NA;"Ppp2r5b";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform (PP2A B subunit isoform B'-beta) (PP2A B subunit isoform B56-beta) (PP2A B subunit isoform PR61-beta) (PP2A B subunit isoform R5-beta)"
"9";"2A5E_MOUSE|Q61151";"Tg_BioIDvsAll";-0,878338551502634;0,399648232137617;14,2763805721369;0,0449374711280208;0,0577816156430048;NA;"Ppp2r5e";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon)"
"10";"2A5G_MOUSE|Q60996";"Tg_BioIDvsAll";1,5420063038252;0,662686413755831;14,2763805721369;0,0351687727935922;0,0464775885646226;NA;"Ppp2r5c";"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform (PP2A B subunit isoform B'-alpha-3) (PP2A B subunit isoform B'-gamma) (PP2A B subunit isoform B56-gamma) (PP2A B subunit isoform PR61-gamma) (PP2A B subunit isoform R5-gamma)"
"11";"2AAA_MOUSE|Q76MZ3";"Tg_BioIDvsAll";-1,6818648092212;0,316309749072252;14,2763805721369;0,000101798094332538;0,000344026530150884;NA;"Ppp2r1a";"Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)"
"12";"2ABA_MOUSE|Q6P1F6";"Tg_BioIDvsAll";-1,85389465957913;0,439656329033063;14,2763805721369;0,000827701480859937;0,00189871286502045;NA;"Ppp2r2a";"Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)"
"13";"3BP5_MOUSE|Q9Z131";"Tg_BioIDvsAll";0,801412490831106;0,411148391155648;14,2763805721369;0,0711968022671614;0,0876268335595832;NA;"Sh3bp5";"SH3 domain-binding protein 5 (SH3BP-5) (SH3 domain-binding protein that preferentially associates with BTK)"
"14";"3HIDH_MOUSE|Q99L13";"Tg_BioIDvsAll";-2,06489550963207;0,45781985697234;14,2763805721369;0,000466913906348279;0,00118191938084579;NA;"Hibadh";"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)"
"15";"41_MOUSE|P48193";"Tg_BioIDvsAll";1,28514883361987;0,238260947323577;14,2763805721369;8,84510078484801e-05;0,000310800226473112;NA;"Epb41";"Protein 4.1 (P4.1) (4.1R) (Band 4.1) (Erythrocyte membrane protein band 4.1)"
