"","Protein","Gene","Description","Fold_Change","p_Value"
"1","1433B_MOUSE|Q9CQV8","Ywhab","14-3-3 protein beta/alpha",-1.51,0.0193
"2","1433E_MOUSE|P62259","Ywhae","14-3-3 protein epsilon",-1.37,0.049
"3","1433F_MOUSE|P68510","Ywhah","14-3-3 protein eta",-1.45,0.0241
"4","1433G_MOUSE|P61982","Ywhag","14-3-3 protein gamma",-1.39,0.0629
"5","1433T_MOUSE|P68254","Ywhaq","14-3-3 protein theta",-1.43,0.0334
"6","1433Z_MOUSE|P63101","Ywhaz","14-3-3 protein zeta/delta",-1.52,0.0288
"7","2A5A_MOUSE|Q6PD03","Ppp2r5a","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",-2.42,0.000604
"8","2A5B_MOUSE|Q6PD28",NA,NA,-1.98,0.00454
"9","2A5E_MOUSE|Q61151","Ppp2r5e","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform",-2.05,0.0019
"10","2A5G_MOUSE|Q60996","Ppp2r5c","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform",-4.52,0.00162
"11","2AAA_MOUSE|Q76MZ3","Ppp2r1a","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",-1.62,0.00302
"12","2ABA_MOUSE|Q6P1F6","Ppp2r2a","Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform",-1.54,0.00536
"13","3BP5_MOUSE|Q9Z131","Sh3bp5","SH3 domain-binding protein 5",-3.07,0.00218
"14","3HIDH_MOUSE|Q99L13","Hibadh","3-hydroxyisobutyrate dehydrogenase, mitochondrial",-1.4,0.0181
"15","41_MOUSE|P48193","Epb41","Protein 4.1",-3.61,0.00188
"16","4ET_MOUSE|Q9EST3","Eif4enif1","Eukaryotic translation initiation factor 4E transporter",-11.1,0.000343
"17","4F2_MOUSE|P10852","Slc3a2","4F2 cell-surface antigen heavy chain",-1.94,0.00676
"18","5NT3A_MOUSE|Q9D020","Nt5c3a","Cytosolic 5'-nucleotidase 3A",-1.68,0.000539
"19","5NTC_MOUSE|Q3V1L4","Nt5c2","Cytosolic purine 5'-nucleotidase",-1.9,0.000682
"20","68MP_MOUSE|P56379","Mp68","6.8 kDa mitochondrial proteolipid",-1.55,0.0329
"21","6PGD_MOUSE|Q9DCD0","Pgd","6-phosphogluconate dehydrogenase, decarboxylating",-1.21,0.145
"22","6PGL_MOUSE|Q9CQ60","Pgls","6-phosphogluconolactonase",-1.42,0.0203
"23","A0A087WNU5_MOUSE|A0A087WNU5","Ank3","Ankyrin-3",-17.8,0.00295
"24","A0A087WNW2_MOUSE|A0A087WNW2","Nfasc","Neurofascin",-1.5,0.00448
"25","A0A087WPL5_MOUSE|A0A087WPL5","Dhx9","ATP-dependent RNA helicase A",-1.61,0.00933
"26","A0A087WQM0_MOUSE|A0A087WQM0","Tns1","Protein Tns1",1.02,0.964
"27","A0A087WRP9_MOUSE|A0A087WRP9","Ank3","Ankyrin-3",-6.37,0.00286
"28","A0A087WS16_MOUSE|A0A087WS16","Col6a3","Protein Col6a3",1.57,0.217
"29","A0A0A6YWG7_MOUSE|A0A0A6YWG7","Rapgef2","Rap guanine nucleotide exchange factor 2",-2.5,0.00175
"30","A0A0A6YY91_MOUSE|A0A0A6YY91","Ncam1","Neural cell adhesion molecule 1",-2.5,0.00136
"31","A0A0G2JFH2_MOUSE|A0A0G2JFH2",NA,NA,-7.89,0.00172
"32","A0A0G2JFH6_MOUSE|A0A0G2JFH6",NA,NA,-10.6,0.00113
"33","A0A0G2JFZ4_MOUSE|A0A0G2JFZ4",NA,NA,-3.87,0.00248
"34","A0A0J9YUS1_MOUSE|A0A0J9YUS1",NA,NA,-1.52,0.0201
"35","A0A0J9YVH8_MOUSE|A0A0J9YVH8",NA,NA,-14.3,0.00238
"36","A0A0N4SUM2_MOUSE|A0A0N4SUM2",NA,NA,-1.18,0.0557
"37","A0A0N4SUV0_MOUSE|A0A0N4SUV0",NA,NA,-9.98,0.00122
"38","A0A0N4SVL0_MOUSE|A0A0N4SVL0",NA,NA,-22.1,0.00166
"39","A0A0N4SW73_MOUSE|A0A0N4SW73",NA,NA,-15.2,0.00208
"40","A0A0N4SWD7_MOUSE|A0A0N4SWD7",NA,NA,-14.3,0.00818
"41","A0A0R4J078_MOUSE|A0A0R4J078",NA,NA,-3.51,0.00181
"42","A0A0R4J094_MOUSE|A0A0R4J094",NA,NA,-1.75,0.00667
"43","A0A0R4J0B4_MOUSE|A0A0R4J0B4",NA,NA,-1.97,0.00122
"44","A0A0R4J0I1_MOUSE|A0A0R4J0I1",NA,NA,-2.26,0.228
"45","A0A0R4J117_MOUSE|A0A0R4J117",NA,NA,-1.81,0.00586
"46","A0A0R4J124_MOUSE|A0A0R4J124",NA,NA,-3.57,0.000638
"47","A0A0R4J1I8_MOUSE|A0A0R4J1I8",NA,NA,-17.1,0.0143
"48","A0A0R4J2C2_MOUSE|A0A0R4J2C2",NA,NA,-5.28,0.00145
"49","A0A140LHX5_MOUSE|A0A140LHX5",NA,NA,-2.8,0.00415
"50","A0A140LIW3_MOUSE|A0A140LIW3",NA,NA,-12.4,0.00146
"51","A0A140LJD2_MOUSE|A0A140LJD2",NA,NA,-7.28,0.000403
"52","A0A1B0GR85_MOUSE|A0A1B0GR85",NA,NA,-24.6,0.00137
"53","A0A1D5RLA1_MOUSE|A0A1D5RLA1",NA,NA,-2.12,0.00142
"54","A0A1D5RLD2_MOUSE|A0A1D5RLD2",NA,NA,-2.57,0.000213
"55","A0A1D5RLG3_MOUSE|A0A1D5RLG3",NA,NA,-2.37,0.00114
"56","A0A1D5RLM8_MOUSE|A0A1D5RLM8",NA,NA,1.22,0.0384
"57","A0A1D5RM83_MOUSE|A0A1D5RM83",NA,NA,-5.59,0.00116
"58","A0A1D5RM99_MOUSE|A0A1D5RM99",NA,NA,-11.4,0.00234
"59","A0A1D5RMM1_MOUSE|A0A1D5RMM1",NA,NA,-1.54,0.00314
"60","A0A1L1SVJ6_MOUSE|A0A1L1SVJ6",NA,NA,-1.66,0.00839
"61","A0A1W2P772_MOUSE|A0A1W2P772",NA,NA,-1.98,0.000256
"62","A0A1W2P7W6_MOUSE|A0A1W2P7W6",NA,NA,-10.2,0.00136
"63","A0A1W2P872_MOUSE|A0A1W2P872",NA,NA,-2.71,0.000736
"64","A0A1W2P8G5_MOUSE|A0A1W2P8G5",NA,NA,1.06,0.701
"65","A0A1Y7VNZ6_MOUSE|A0A1Y7VNZ6",NA,NA,-2.63,0.00029
"66","A0AUN0_MOUSE|A0AUN0","Sec23ip","Sec23ip protein",-2.45,0.000741
"67","A0JLN1_MOUSE|A0JLN1","Srp72","Srp72 protein",-1.51,0.00519
"68","A0JLR7_MOUSE|A0JLR7","Ahnak","Ahnak protein",-1.55,0.0665
"69","A16L1_MOUSE|Q8C0J2","Atg16l1","Autophagy-related protein 16-1",-1.85,0.00121
"70","A1AT1_MOUSE|P07758","Serpina1a","Alpha-1-antitrypsin 1-1",-1.36,0.475
"71","A1AT2_MOUSE|P22599","Serpina1b","Alpha-1-antitrypsin 1-2",-1.25,0.631
"72","A1BN54_MOUSE|A1BN54","Actn1","Alpha actinin 1a",-1.26,0.102
"73","A1ILI2_MOUSE|A1ILI2","Vps13a","Putative uncharacterized protein Vps13a 3' variant II",-2.32,0.00124
"74","A1L3P4_MOUSE|A1L3P4","Slc9a6","Protein Slc9a6",-1.81,0.00537
"75","A2A5V2_MOUSE|A2A5V2","Sh3bp1","SH3 domain-binding protein 1",-2.27,0.00226
"76","A2A5Y6_MOUSE|A2A5Y6","Mapt","Microtubule-associated protein",-2.23,0.0112
"77","A2A8R0_MOUSE|A2A8R0","Zfyve9","MCG17975",-5.03,0.00393
"78","A2ACM0_MOUSE|A2ACM0","Rptor","Regulatory-associated protein of mTOR",-1.82,0.00467
"79","A2AE27_MOUSE|A2AE27","Ampd2","AMP deaminase 2",-2.95,0.00152
"80","A2AI20_MOUSE|A2AI20","Grin1","Glutamate receptor ionotropic, NMDA 1",-2.56,0.00424
"81","A2AIX1_MOUSE|A2AIX1","Sec16a","Protein Sec16a",-17.6,0.00143
"82","A2AJW4_MOUSE|A2AJW4","Ppp1r3d","MCG51138",-1.73,0.00207
"83","A2AJW5_MOUSE|A2AJW5","Fam217b","Protein Fam217b",-9.08,0.000434
"84","A2ALK6_MOUSE|A2ALK6","Epb4.1l4b","Band 4.1-like protein 4B",-9.14,0.0018
"85","A2ALS7_MOUSE|A2ALS7","Rap1gap","Rap1 GTPase-activating protein 1",-3.13,0.000919
"86","A2AS98_MOUSE|A2AS98","Nckap1","Nck-associated protein 1",-1.55,0.00291
"87","A2AT37_MOUSE|A2AT37","Upf2","Protein Upf2",-2.19,0.00452
"88","A2ATK9_MOUSE|A2ATK9","Fam171a1","Family with sequence similarity 171, member A1",-21.4,0.00112
"89","A2AUK8_MOUSE|A2AUK8","Epb4.1l1","Band 4.1-like protein 1",-12.2,0.00929
"90","A2AWI7_MOUSE|A2AWI7","Sh3glb2","Endophilin-B2",-2.31,0.000339
"91","A2MG_MOUSE|Q6GQT1",NA,NA,1.12,0.11
"92","A2RTH5_MOUSE|A2RTH5","Lcmt1","Leucine carboxyl methyltransferase 1",-1.58,0.0114
"93","A2VCS7_MOUSE|A2VCS7","Armcx4","Armcx4 protein",-13.7,0.00208
"94","A6ZI46_MOUSE|A6ZI46","Aldoart1","Aldolase A retroprotein 1",-1.24,0.111
"95","A8DUK4_MOUSE|A8DUK4","Hbbt1","Beta-globin",-2.21,0.303
"96","A8DUN2_MOUSE|A8DUN2","Hbbt1","Beta-globin",1.3,0.0654
"97","AACS_MOUSE|Q9D2R0","Aacs","Acetoacetyl-CoA synthetase",-3.13,0.00264
"98","AAK1_MOUSE|Q3UHJ0","Aak1","AP2-associated protein kinase 1",-17.1,0.00324
"99","AAKB2_MOUSE|Q6PAM0","Prkab2","5'-AMP-activated protein kinase subunit beta-2",-3.64,0.00158
"100","AAKG1_MOUSE|O54950","Prkag1","5'-AMP-activated protein kinase subunit gamma-1",-1.59,0.0121
"101","AAMDC_MOUSE|Q8R0P4","Aamdc","Mth938 domain-containing protein",-1.04,0.722
"102","AAPK1_MOUSE|Q5EG47","Prkaa1","5'-AMP-activated protein kinase catalytic subunit alpha-1",-2.18,0.00192
"103","AAPK2_MOUSE|Q8BRK8","Prkaa2","5'-AMP-activated protein kinase catalytic subunit alpha-2",-1.81,0.001
"104","AASD1_MOUSE|Q3THG9","Aarsd1","Alanyl-tRNA editing protein Aarsd1",-1.6,0.00128
"105","AASS_MOUSE|Q99K67","Aass","Alpha-aminoadipic semialdehyde synthase, mitochondrial",-1.66,0.00422
"106","AATC_MOUSE|P05201","Got1","Aspartate aminotransferase, cytoplasmic",-1.3,0.363
"107","AATM_MOUSE|P05202","Got2","Aspartate aminotransferase, mitochondrial",-1.06,0.967
"108","ABCA2_MOUSE|P41234","Abca2","ATP-binding cassette sub-family A member 2",-1.7,0.00232
"109","ABCA7_MOUSE|Q91V24","Abca7","ATP-binding cassette sub-family A member 7",-1.6,0.0062
"110","ABCB7_MOUSE|Q61102","Abcb7","ATP-binding cassette sub-family B member 7, mitochondrial",-1.36,0.00282
"111","ABCB8_MOUSE|Q9CXJ4","Abcb8","ATP-binding cassette sub-family B member 8, mitochondrial",-1.68,0.00752
"112","ABCB9_MOUSE|Q9JJ59","Abcb9","ATP-binding cassette sub-family B member 9",-1.75,6.62e-05
"113","ABCBB_MOUSE|Q9QY30","Abcb11","Bile salt export pump",-1.62,0.0733
"114","ABCD3_MOUSE|P55096","Abcd3","ATP-binding cassette sub-family D member 3",-1.69,0.00128
"115","ABCE1_MOUSE|P61222","Abce1","ATP-binding cassette sub-family E member 1",-1.4,0.0135
"116","ABCF1_MOUSE|Q6P542","Abcf1","ATP-binding cassette sub-family F member 1",-1.89,0.00228
"117","ABCF2_MOUSE|Q99LE6","Abcf2","ATP-binding cassette sub-family F member 2",-1.57,0.00171
"118","ABCF3_MOUSE|Q8K268","Abcf3","ATP-binding cassette sub-family F member 3",-1.78,0.00514
"119","ABD12_MOUSE|Q99LR1","Abhd12","Monoacylglycerol lipase ABHD12",-2.09,0.00229
